Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/19/2016,20:45 (18:45),Málaga,1@1,Osasuna,"22,347",Estadio La Rosaleda,Santiago Jaime,Match Report,
1,Fri,8/19/2016,22:00 (20:00),La Coruña,2@1,Eibar,"21,441",Estadio Municipal de Riazor,Mario Melero,Match Report,
1,Sat,8/20/2016,18:15 (16:15),Barcelona,6@2,Betis,"65,731",Camp Nou,Alberto Undiano,Match Report,
1,Sat,8/20/2016,20:15 (18:15),Granada,1@1,Villarreal,"15,149",Estadio Nuevo Los Cármenes,Javier Estrada,Match Report,
1,Sat,8/20/2016,22:15 (20:15),Sevilla,6@4,Espanyol,"29,420",Estadio Ramón Sánchez Pizjuán,José González,Match Report,
1,Sun,8/21/2016,18:15 (16:15),Sporting Gijón,2@1,Athletic Club,"24,833",Estadio Municipal El Molinón,Carlos Clos,Match Report,
1,Sun,8/21/2016,20:15 (18:15),Real Sociedad,0@3,Real Madrid,"27,653",Estadio Municipal de Anoeta,Juan Martínez,Match Report,
1,Sun,8/21/2016,22:15 (20:15),Atlético Madrid,1@1,Alavés,"36,455",Estadio Vicente Calderón,Ignacio Iglesias,Match Report,
1,Mon,8/22/2016,20:00 (18:00),Celta Vigo,0@1,Leganés,"16,578",Estadio de Balaídos,José Luis Munuera,Match Report,
1,Mon,8/22/2016,22:00 (20:00),Valencia,2@4,Las Palmas,"37,144",Estadio de Mestalla,Iñaki Bikandi,Match Report,
2,Fri,8/26/2016,20:45 (18:45),Betis,0@0,La Coruña,"33,172",Estadio Benito Villamarín,Carlos Clos,Match Report,
2,Fri,8/26/2016,22:00 (20:00),Espanyol,2@2,Málaga,"17,304",RCDE Stadium,Jesús Gil,Match Report,
2,Sat,8/27/2016,18:15 (16:15),Eibar,1@0,Valencia,"3,576",Estadio Municipal de Ipurúa,Alejandro Hernández,Match Report,
2,Sat,8/27/2016,18:15 (16:15),Osasuna,0@2,Real Sociedad,"16,343",Estadio El Sadar,Alfonso Ãlvarez,Match Report,
2,Sat,8/27/2016,20:15 (18:15),Real Madrid,2@1,Celta Vigo,"61,568",Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
2,Sat,8/27/2016,22:15 (20:15),Leganés,0@0,Atlético Madrid,"10,958",Estadio Municipal de Butarque,José Sánchez,Match Report,
2,Sun,8/28/2016,17:15 (16:15),Las Palmas,5@1,Granada,"18,837",Estadio de Gran Canaria,Daniel Ocón,Match Report,
2,Sun,8/28/2016,18:15 (16:15),Alavés,0@0,Sporting Gijón,"16,236",Estadio de Mendizorroza,José Luis Munuera,Match Report,
2,Sun,8/28/2016,20:15 (18:15),Athletic Club,0@1,Barcelona,"46,635",San Mamés,Antonio Matéu Lahoz,Match Report,
2,Sun,8/28/2016,22:15 (20:15),Villarreal,0@0,Sevilla,"18,740",Estadio de la Cerámica,Carlos del Cerro,Match Report,
3,Fri,9/9/2016,20:45 (18:45),Real Sociedad,1@1,Espanyol,"19,739",Estadio Municipal de Anoeta,Ignacio Iglesias,Match Report,
3,Sat,9/10/2016,13:00 (11:00),Celta Vigo,0@4,Atlético Madrid,"18,064",Estadio de Balaídos,Santiago Jaime,Match Report,
3,Sat,9/10/2016,16:00 (14:00),Real Madrid,5@2,Osasuna,"69,567",Estadio Santiago Bernabéu,David Fernández,Match Report,
3,Sat,9/10/2016,18:15 (16:15),Sevilla,2@1,Las Palmas,"34,060",Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
3,Sat,9/10/2016,18:15 (16:15),Málaga,0@2,Villarreal,"21,800",Estadio La Rosaleda,Alberto Undiano,Match Report,
3,Sat,9/10/2016,20:30 (18:30),Barcelona,1@2,Alavés,"74,237",Camp Nou,Mario Melero,Match Report,
3,Sun,9/11/2016,12:00 (10:00),Sporting Gijón,2@1,Leganés,"22,682",Estadio Municipal El Molinón,Iñaki Bikandi,Match Report,
3,Sun,9/11/2016,16:00 (14:00),Valencia,2@3,Betis,"36,789",Estadio de Mestalla,José González,Match Report,
3,Sun,9/11/2016,18:15 (16:15),Granada,1@2,Eibar,"15,883",Estadio Nuevo Los Cármenes,Daniel Trujillo,Match Report,
3,Sun,9/11/2016,20:30 (18:30),La Coruña,0@1,Athletic Club,"23,245",Estadio Municipal de Riazor,Javier Estrada,Match Report,
4,Fri,9/16/2016,20:45 (18:45),Betis,2@2,Granada,"36,090",Estadio Benito Villamarín,Carlos del Cerro,Match Report,
4,Sat,9/17/2016,13:00 (11:00),Leganés,1@5,Barcelona,"10,958",Estadio Municipal de Butarque,Ricardo de Burgos,Match Report,
4,Sat,9/17/2016,16:15 (14:15),Atlético Madrid,5@0,Sporting Gijón,"45,821",Estadio Vicente Calderón,Daniel Ocón,Match Report,
4,Sat,9/17/2016,18:30 (16:30),Eibar,1@1,Sevilla,"4,265",Estadio Municipal de Ipurúa,Alfonso Ãlvarez,Match Report,
4,Sat,9/17/2016,19:45 (18:45),Las Palmas,1@0,Málaga,"18,980",Estadio de Gran Canaria,José Sánchez,Match Report,
4,Sun,9/18/2016,12:00 (10:00),Osasuna,0@0,Celta Vigo,"14,854",Estadio El Sadar,Daniel Trujillo,Match Report,
4,Sun,9/18/2016,16:15 (14:15),Athletic Club,2@1,Valencia,"40,907",San Mamés,Jesús Gil,Match Report,
4,Sun,9/18/2016,18:30 (16:30),Villarreal,2@1,Real Sociedad,"18,692",Estadio de la Cerámica,Carlos Clos,Match Report,
4,Sun,9/18/2016,20:45 (18:45),Espanyol,0@2,Real Madrid,"29,484",RCDE Stadium,Alejandro Hernández,Match Report,
4,Mon,9/19/2016,20:45 (18:45),Alavés,0@0,La Coruña,"16,854",Estadio de Mendizorroza,Juan Martínez,Match Report,
5,Tue,9/20/2016,20:00 (18:00),Málaga,2@1,Eibar,"30,370",Estadio La Rosaleda,Ignacio Iglesias,Match Report,
5,Tue,9/20/2016,22:00 (20:00),Sevilla,1@0,Betis,"39,849",Estadio Ramón Sánchez Pizjuán,Javier Estrada,Match Report,
5,Wed,9/21/2016,20:00 (18:00),Real Madrid,1@1,Villarreal,"67,328",Estadio Santiago Bernabéu,José González,Match Report,
5,Wed,9/21/2016,20:00 (18:00),Celta Vigo,2@1,Sporting Gijón,"14,863",Estadio de Balaídos,Mario Melero,Match Report,
5,Wed,9/21/2016,22:00 (20:00),Granada,1@2,Athletic Club,"14,603",Estadio Nuevo Los Cármenes,Juan Martínez,Match Report,
5,Wed,9/21/2016,22:00 (20:00),Barcelona,1@1,Atlético Madrid,"89,421",Camp Nou,David Fernández,Match Report,
5,Wed,9/21/2016,22:00 (20:00),Real Sociedad,4@1,Las Palmas,"10,974",Estadio Municipal de Anoeta,José Luis Munuera,Match Report,
5,Thu,9/22/2016,20:00 (18:00),La Coruña,1@2,Leganés,"19,467",Estadio Municipal de Riazor,Alberto Undiano,Match Report,
5,Thu,9/22/2016,20:00 (18:00),Osasuna,1@2,Espanyol,"14,631",Estadio El Sadar,Iñaki Bikandi,Match Report,
5,Thu,9/22/2016,22:00 (20:00),Valencia,2@1,Alavés,"32,285",Estadio de Mestalla,Santiago Jaime,Match Report,
6,Fri,9/23/2016,20:45 (18:45),Betis,1@0,Málaga,"37,038",Estadio Benito Villamarín,Alfonso Ãlvarez,Match Report,
6,Sat,9/24/2016,13:00 (11:00),Eibar,2@0,Real Sociedad,"4,798",Estadio Municipal de Ipurúa,José Sánchez,Match Report,
6,Sat,9/24/2016,16:15 (14:15),Sporting Gijón,0@5,Barcelona,"26,098",Estadio Municipal El Molinón,Carlos del Cerro,Match Report,
6,Sat,9/24/2016,18:30 (16:30),Athletic Club,3@1,Sevilla,"42,415",San Mamés,Alejandro Hernández,Match Report,
6,Sat,9/24/2016,19:45 (18:45),Las Palmas,2@2,Real Madrid,"22,520",Estadio de Gran Canaria,Javier Estrada,Match Report,
6,Sun,9/25/2016,12:00 (10:00),Leganés,1@2,Valencia,"10,622",Estadio Municipal de Butarque,David Fernández,Match Report,
