Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
1,Fri,8/18/2017,20:15 (18:15),Leganés,1@0,Alavés,"9,231",Estadio Municipal de Butarque,José Munuera
1,Fri,8/18/2017,22:15 (20:15),Valencia,1@0,Las Palmas,"35,971",Estadio de Mestalla,Jesús Gil
1,Sat,8/19/2017,18:15 (16:15),Celta Vigo,2@3,Real Sociedad,"16,961",Estadio de Balaídos,Antonio Matéu Lahoz
1,Sat,8/19/2017,20:15 (18:15),Girona,2@2,Atlético Madrid,"11,511",Estadi Municipal de Montilivi,Juan Martínez
1,Sat,8/19/2017,22:15 (20:15),Sevilla,1@1,Espanyol,"30,487",Estadio Ramón Sánchez Pizjuán,Alejandro Hernández
1,Sun,8/20/2017,18:15 (16:15),Athletic Club,0@0,Getafe,"37,884",San Mamés,Mario Melero
1,Sun,8/20/2017,20:15 (18:15),Barcelona,2@0,Betis,"56,480",Camp Nou,Daniel Trujillo
1,Sun,8/20/2017,22:15 (20:15),La Coruña,0@3,Real Madrid,"27,770",Estadio Municipal de Riazor,José González
1,Mon,8/21/2017,20:15 (18:15),Levante,1@0,Villarreal,"19,500",Estadio Ciudad de Valencia,Alfonso Ãlvarez
1,Mon,8/21/2017,22:00 (20:00),Málaga,0@1,Eibar,"24,753",Estadio La Rosaleda,David Medié
2,Fri,8/25/2017,20:15 (18:15),Real Sociedad,3@0,Villarreal,"19,931",Estadio Municipal de Anoeta,Javier Estrada
2,Fri,8/25/2017,22:00 (20:00),Betis,2@1,Celta Vigo,"45,761",Estadio Benito Villamarín,Ricardo de Burgos
2,Sat,8/26/2017,18:15 (16:15),Alavés,0@2,Barcelona,"19,356",Estadio de Mendizorroza,Carlos del Cerro
2,Sat,8/26/2017,20:15 (18:15),Girona,1@0,Málaga,"9,966",Estadi Municipal de Montilivi,Santiago Jaime
2,Sat,8/26/2017,20:15 (18:15),Levante,2@2,La Coruña,"17,370",Estadio Ciudad de Valencia,Alberola Rojas
2,Sat,8/26/2017,21:15 (20:15),Las Palmas,1@5,Atlético Madrid,"20,384",Estadio de Gran Canaria,Ignacio Iglesias
2,Sun,8/27/2017,18:15 (16:15),Espanyol,0@1,Leganés,"18,383",RCDE Stadium,Pablo González
2,Sun,8/27/2017,18:15 (16:15),Eibar,0@1,Athletic Club,"5,932",Estadio Municipal de Ipurúa,José Sánchez
2,Sun,8/27/2017,20:15 (18:15),Getafe,0@1,Sevilla,"10,039",Coliseum Alfonso Pérez,Alberto Undiano
