,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
1,Antonio Adán,es ESP,GK,Atlético Madrid,31,1987,1,0,0,0,,0,0,,,,0,0
2,Aday,es ESP,"DF,MF",Girona,30,1987,7.2,0,9,3,33.3,1.26,0.42,0,0,28.4,0,0
3,Aritz Aduriz,es ESP,FW,Athletic Club,37,1981,10.5,2,14,7,50,1.34,0.67,0,0,12.1,2,2
4,Luis Advíncula,pe PER,DF,Rayo Vallecano,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.2,21.7,0,0
5,Martin Agirregabiria,es ESP,DF,Alavés,22,1996,22.6,0,2,0,0,0.09,0,0,,17.9,0,0
6,Juan Aguilera,es ESP,MF,Huesca,32,1985,3.8,0,3,1,33.3,0.78,0.26,0,0,17.8,0,0
7,Carlos Akapo,gq EQG,DF,Huesca,25,1993,11.4,0,8,2,25,0.7,0.18,0,0,22.6,0,0
8,Sergio Akieme,es ESP,DF,Rayo Vallecano,20,1997,2,0,0,0,,0,0,,,,0,0
9,Jordi Alba,es ESP,DF,Barcelona,29,1989,33.2,2,14,4,28.6,0.42,0.12,0.14,0.5,13.7,0,0
10,Pedro Alcalá,es ESP,DF,Girona,29,1989,20.8,1,15,3,20,0.72,0.14,0.07,0.33,16,0,0
11,Rubén Alcaraz,es ESP,MF,Valladolid,27,1991,33.1,3,52,12,23.1,1.57,0.36,0.06,0.25,25.5,0,1
12,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,25,1992,1.6,0,3,2,66.7,1.93,1.29,0,0,18.4,0,0
13,Iván Alejo,es ESP,"MF,FW",Getafe,23,1995,1.6,0,1,0,0,0.62,0,0,,23.3,0,0
14,Carles Aleñá,es ESP,MF,Barcelona,20,1998,7.1,2,14,3,21.4,1.98,0.42,0.14,0.67,21.2,0,0
15,Alexander,ar ARG,DF,Leganés,29,1988,0.1,0,0,0,,0,0,,,,0,0
16,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,25,1993,6,0,4,2,50,0.67,0.34,0,0,15.4,0,0
17,Sergio Álvarez,es ESP,GK,Celta Vigo,31,1986,13,0,0,0,,0,0,,,,0,0
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,26,1992,11.9,0,2,0,0,0.17,0,0,,8,0,0
19,Yeray Álvarez,es ESP,DF,Athletic Club,23,1995,29,0,10,3,30,0.34,0.1,0,0,8.4,0,0
20,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,25,1993,8.5,0,9,3,33.3,1.06,0.35,0,0,19,0,0
21,Jordi Amat,es ESP,DF,Rayo Vallecano,26,1992,30.7,0,7,1,14.3,0.23,0.03,0,0,7.3,0,0
22,Amath,sn SEN,"MF,FW",Getafe,22,1996,11.1,1,14,6,42.9,1.26,0.54,0.07,0.17,17.5,0,0
23,José Ángel,es ESP,DF,Eibar,28,1989,33.6,1,24,4,16.7,0.71,0.12,0.04,0.25,27,0,0
24,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,34,1984,11,0,0,0,,0,0,,,,0,0
