,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Aly Abeid,mr MTN,DF,Levante,0.9,2,1,1,1,0,0,1,0,1,1,0,1,3,5,3,0
2,Antonio Adán,es ESP,GK,Betis,30,1,0,1,0,0,1,1,100,0,1,0,1,0,1,11,2
3,Aday,es ESP,DF,Girona,20.4,17,15,11,4,2,6,17,35.3,11,19,3,16,25,42,52,1
4,Aritz Aduriz,es ESP,FW,Athletic Club,23.9,11,8,2,6,3,1,6,16.7,5,6,0,6,3,14,18,0
5,Martin Agirregabiria,es ESP,DF,Alavés,20.3,50,33,31,17,2,32,50,64,18,13,7,6,41,91,66,0
6,Imanol Agirretxe,es ESP,FW,Real Sociedad,2.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0
7,Matías Aguirregaray,uy URU,DF,Las Palmas,12.8,26,20,12,12,2,12,32,37.5,20,13,1,12,24,50,25,0
8,Ager Aketxe,es ESP,MF,Athletic Club,0.4,1,1,1,0,0,1,2,50,1,1,0,1,1,2,0,0
9,David Alba,es ESP,DF,Getafe,0.7,1,1,1,0,0,1,1,100,0,0,0,0,0,1,7,1
10,Jordi Alba,es ESP,DF,Barcelona,30.5,63,42,35,22,6,26,52,50,26,34,5,29,68,131,67,1
11,Raúl Albentosa,es ESP,DF,La Coruña,19.4,13,6,9,4,0,7,20,35,13,26,19,7,26,39,92,1
12,Paco Alcácer,es ESP,"MF,FW",Barcelona,7.7,4,3,0,2,2,0,6,0,6,5,0,5,11,15,3,0
13,Pedro Alcalá,es ESP,DF,Girona,7.7,9,5,5,4,0,1,3,33.3,2,7,3,4,14,23,41,0
14,Steve Aldo One,cm CMR,DF,La Coruña,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,7,0
15,Álex Alegría,es ESP,FW,Levante,7,8,5,1,3,4,2,6,33.3,4,7,0,7,4,12,9,0
16,Iván Alejo,es ESP,"MF,FW",Eibar,12.2,20,16,4,9,7,1,10,10,9,9,0,9,5,25,1,0
17,Alexander,ar ARG,"MF,FW",Leganés,11.8,14,11,2,11,1,2,12,16.7,10,11,0,11,22,36,4,0
18,Alexis,es ESP,DF,Alavés,24.3,33,24,24,7,2,20,45,44.4,25,28,14,14,30,63,114,3
19,José Alonso Lara,es ESP,MF,Sevilla,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
20,Sergio Álvarez,es ESP,GK,Celta Vigo,16.4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,11,1
21,Yeray Álvarez,es ESP,DF,Athletic Club,7.5,12,7,8,4,0,6,9,66.7,3,8,2,6,11,23,18,0
22,Eloi Amagat,es ESP,MF,Girona,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23,Jordi Amat,es ESP,"DF,MF",Betis,22.7,32,23,15,16,1,11,24,45.8,13,14,4,10,38,70,77,2
24,Amath,sn SEN,"MF,FW",Getafe,31.8,78,53,32,28,18,24,89,27,65,36,3,33,33,111,20,0
25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,18,19,10,5,10,4,5,17,29.4,12,13,0,13,5,24,2,0
26,Jon Ander Serantes,es ESP,GK,Leganés,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
27,Florin Andone,ro ROU,FW,La Coruña,18.2,9,7,4,4,1,4,17,23.5,13,9,2,7,3,12,12,0
28,Miguel Ángel Guerrero,es ESP,FW,Leganés,16,7,5,0,2,5,1,11,9.1,10,11,0,11,9,16,16,0
29,José Ángel,es ESP,DF,Eibar,27,61,44,36,19,6,38,58,65.5,20,31,1,30,38,99,76,0
