,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Betis,26,1987,17,17,"1,522",16.9,31,1.83,102,71,69.6,4,2,11,3,17.6,,,,,
2,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,26,1986,3,3,270,3,2,0.67,22,20,90.9,2,0,1,2,66.7,,,,,
3,Diego Alves,br BRA,GK,Valencia,28,1985,27,27,"2,280",25.3,32,1.26,109,77,70.6,11,5,10,10,37,,,,,
4,Stephan Andersen,dk DEN,GK,Betis,31,1981,7,6,585,6.5,21,3.23,47,26,55.3,0,1,6,1,16.7,,,,,
5,Miguel ¡Ångel Moy·,es ESP,GK,Getafe,29,1984,26,26,"2,307",25.6,40,1.56,138,98,71,7,5,14,6,23.1,,,,,
6,Daniel Aranzubia,es ESP,GK,AtlÈtico Madrid,33,1979,1,1,84,0.9,1,1.07,3,2,66.7,0,0,1,0,0,,,,,
7,Sergio Asenjo,es ESP,GK,Villarreal,24,1989,35,35,"3,150",35,41,1.17,127,86,67.7,15,8,12,9,25.7,,,,,
8,Beto,pt POR,GK,Sevilla,31,1982,33,33,"2,925",32.5,46,1.42,145,99,68.3,16,7,9,8,24.2,,,,,
9,Claudio Bravo,cl CHI,GK,Real Sociedad,30,1983,37,37,"3,330",37,54,1.46,178,124,69.7,16,11,10,12,32.4,,,,,
10,Willy Caballero,ar ARG,GK,M·laga,31,1981,38,38,"3,420",38,46,1.21,178,132,74.2,12,9,17,12,31.6,,,,,
11,Juan Carlos,es ESP,GK,Villarreal,26,1987,3,3,270,3,3,1,9,6,66.7,2,0,1,1,33.3,,,,,
12,Kiko Casilla,es ESP,GK,Espanyol,26,1986,37,37,"3,323",36.9,47,1.27,154,107,69.5,11,9,17,9,24.3,,,,,
13,Iker Casillas,es ESP,GK,Real Madrid,32,1981,2,2,180,2,2,1,4,2,50,1,1,0,0,0,,,,,
14,J˙lio CÈsar,br BRA,GK,Getafe,26,1986,5,5,448,5,3,0.6,19,16,84.2,3,2,0,2,40,,,,,
15,David CobeÒo,es ESP,GK,Rayo Vallecano,31,1982,5,4,426,4.7,16,3.38,31,15,48.4,1,1,3,1,25,,,,,
16,Jordi Codina,es ESP,GK,Getafe,31,1982,9,7,665,7.4,11,1.49,38,27,71.1,1,2,4,2,28.6,,,,,
17,Thibaut Courtois,be BEL,GK,AtlÈtico Madrid,21,1992,37,37,"3,330",37,24,0.65,96,72,75,28,6,3,20,54.1,,,,,
18,Esteban,es ESP,GK,AlmerÌa,38,1975,38,38,"3,420",38,71,1.87,214,143,66.8,11,7,20,10,26.3,,,,,
19,AndrÈs Fern·ndez,es ESP,GK,Osasuna,26,1986,37,37,"3,299",36.7,61,1.66,178,117,65.7,9,8,19,8,21.6,,,,,
20,Gabi,es ESP,MF,AtlÈtico Madrid,30,1983,1,0,6,34.6,1,15,1,0,0,0,0,0,0,,,,,,
21,Vicente Guaita,es ESP,GK,Valencia,26,1987,13,11,"1,140",12.7,21,1.66,68,47,69.1,2,5,5,2,18.2,,,,,
22,Manu Herrera,es ESP,GK,Elche,31,1981,30,29,"2,625",29.2,35,1.2,125,90,72,7,10,12,9,31,,,,,
23,Iago HerrerÌn,es ESP,GK,Athletic Club,25,1988,6,5,495,5.5,7,1.27,25,18,72,3,2,1,3,60,,,,,
24,Gorka Iraizoz,es ESP,GK,Athletic Club,32,1981,33,33,"2,925",32.5,32,0.98,113,81,71.7,17,8,7,9,27.3,,,,,
25,Jaime,es ESP,GK,Valladolid,32,1980,10,10,900,10,12,1.2,45,33,73.3,2,4,4,4,40,,,,,
26,Javi JimÈnez,es ESP,GK,Levante,26,1987,2,1,170,1.9,4,2.12,9,5,55.6,0,0,1,0,0,,,,,
27,Orestis Karnezis,gr GRE,GK,Granada,28,1985,6,6,540,6,13,2.17,42,29,69,1,1,4,1,16.7,,,,,
28,Diego LÛpez,es ESP,GK,Real Madrid,31,1981,36,36,"3,240",36,36,1,123,87,70.7,26,5,5,16,44.4,,,,,
29,Pedro LÛpez,es ESP,GK,Betis,18,1995,1,0,8,0.1,0,0,0,0,,0,0,0,0,,,,,,
30,JosÈ Manuel Pinto,es ESP,GK,Barcelona,37,1975,13,12,"1,148",12.8,12,0.94,41,29,70.7,7,3,2,3,25,,,,,
31,Diego MariÒo,es ESP,GK,Valladolid,23,1990,28,28,"2,520",28,48,1.71,151,103,68.2,5,11,12,8,28.6,,,,,
32,Keylor Navas,cr CRC,GK,Levante,26,1986,37,37,"3,249",36.1,39,1.08,192,153,79.7,12,12,13,16,43.2,,,,,
