,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Antonio Adán,es ESP,GK,Atlético Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,3,0,0,7,1,0,0,0,2,0,0,0,2,21,10,67.7
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,5,1,1,13,9,0,81,21,21,0,0,0,118,17,16,51.5
4,Martin Agirregabiria,es ESP,DF,Alavés,5,1,0,33,19,1,33,18,30,0,1,0,125,26,27,49.1
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,4,0,0,17,17,0,1,45,27,0,2,0,143,49,51,49
6,Jordi Alba,es ESP,DF,Barcelona,7,0,0,18,18,5,65,37,13,0,0,0,129,6,15,28.6
7,Raúl Albiol,es ESP,DF,Villarreal,9,0,0,30,25,2,3,42,23,0,2,0,155,74,55,57.4
8,Paco Alcácer,es ESP,FW,Villarreal,1,0,0,4,11,13,1,2,3,1,0,0,25,6,22,21.4
9,Rubén Alcaraz,es ESP,MF,Valladolid,10,0,0,37,58,0,26,15,30,0,2,0,178,49,52,48.5
10,Álex Alegría,es ESP,FW,Mallorca,0,0,0,5,4,1,1,0,0,0,0,0,4,9,10,47.4
11,Carles Aleñá,es ESP,MF,Barcelona,0,0,0,3,2,0,4,0,1,0,0,0,10,1,4,20
12,Carles Aleñá,es ESP,"MF,FW",Betis,1,0,0,9,19,3,3,1,9,0,0,0,27,2,11,15.4
13,Sergio Álvarez,es ESP,"MF,DF",Eibar,6,0,0,24,7,0,2,17,22,0,1,0,70,24,35,40.7
14,Sergio Álvarez,es ESP,GK,Celta Vigo,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
15,Yeray Álvarez,es ESP,DF,Athletic Club,2,0,0,18,32,1,12,62,19,0,1,0,167,104,69,60.1
16,Ibrahim Amadou,fr FRA,MF,Leganés,2,0,0,15,6,0,5,12,9,0,0,0,42,19,14,57.6
17,Amath,sn SEN,MF,Getafe,0,0,0,3,4,0,0,0,1,0,0,0,4,1,0,100
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,0,0,0,16,8,3,4,2,0,0,0,0,13,23,42,35.4
19,José Ángel,es ESP,DF,Eibar,4,0,0,21,13,0,148,33,31,0,1,0,181,50,29,63.3
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,0,0,0,0,1,0,0,1,0,0,0,0,26,2,0,100
21,Antoñito,es ESP,"DF,MF",Valladolid,1,0,0,18,7,1,36,15,18,0,0,0,58,7,4,63.6
22,Vitorino Antunes,pt POR,MF,Getafe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
23,Anuar,ma MAR,"MF,FW",Valladolid,1,0,0,3,5,0,1,5,2,0,0,0,16,3,7,30
24,Mauro Arambarri,uy URU,MF,Getafe,11,1,1,79,63,0,45,43,33,0,0,0,201,71,69,50.7
25,Néstor Araujo,mx MEX,DF,Celta Vigo,10,0,0,27,9,0,0,52,27,0,0,0,151,83,44,65.4
26,Ronald Araújo,uy URU,DF,Barcelona,0,1,0,2,1,0,0,0,2,0,0,0,10,6,5,54.5
27,Anaitz Arbilla,es ESP,DF,Eibar,5,0,0,22,12,0,30,29,20,0,0,0,173,56,33,62.9
28,Alphonse Areola,fr FRA,GK,Real Madrid,1,0,0,1,0,0,0,0,0,0,1,0,9,1,0,100
29,Santiago Arias,co COL,DF,Atlético Madrid,1,0,0,8,16,1,24,19,24,0,0,0,60,21,20,51.2
30,José Arnaiz,es ESP,"FW,MF",Osasuna,2,0,0,11,17,5,7,5,2,0,0,0,31,9,18,33.3
31,José Arnaiz,es ESP,MF,Leganés,2,0,0,9,7,1,12,2,0,0,0,0,21,1,5,16.7
32,Sergio Asenjo,es ESP,GK,Villarreal,2,0,0,2,6,0,0,1,0,0,1,0,39,6,0,100
33,Marco Asensio,es ESP,FW,Real Madrid,0,0,0,2,4,1,11,1,3,0,0,0,16,2,4,33.3
34,Iago Aspas,es ESP,FW,Celta Vigo,9,0,0,25,66,20,26,22,19,2,0,0,108,29,58,33.3
35,Roger Assalé,ci CIV,"FW,MF",Leganés,1,0,0,8,11,7,6,0,2,3,0,0,16,3,9,25
36,Miguel Atienza,es ESP,MF,Eibar,0,0,0,2,1,0,0,2,1,0,0,0,2,2,1,66.7
37,Ezequiel Ávila,ar ARG,FW,Osasuna,6,0,0,45,43,24,23,3,12,1,0,0,52,56,93,37.6
38,Javier Avilés,es ESP,"MF,FW",Leganés,1,0,0,5,2,2,17,3,7,0,0,0,12,2,4,33.3
39,Chidozie Awaziem,ng NGA,DF,Leganés,10,0,0,22,14,2,8,28,22,0,0,0,105,42,54,43.8
40,Ramon Azeez,ng NGA,MF,Granada,3,0,0,29,19,1,7,19,8,0,0,0,72,18,31,36.7
41,Iddrisu Baba,gh GHA,MF,Mallorca,6,0,0,42,59,1,2,39,37,0,3,1,248,62,88,41.3
42,Carlos Bacca,co COL,FW,Villarreal,1,0,0,8,6,7,3,0,1,1,0,0,11,13,15,46.4
43,Alex Baena,es ESP,MF,Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,Gareth Bale,wls WAL,"FW,MF",Real Madrid,4,1,1,16,10,5,45,6,5,0,0,0,36,28,12,70
45,Mikel Balenziaga,es ESP,DF,Athletic Club,1,0,0,6,3,0,14,2,10,0,0,0,31,10,3,76.9
46,Éver Banega,ar ARG,MF,Sevilla,10,0,0,31,57,2,164,15,28,0,0,0,199,16,21,43.2
47,Federico Barba,it ITA,DF,Valladolid,3,0,0,8,5,0,5,8,6,0,0,0,20,7,4,63.6
48,Enis Bardhi,mk MKD,MF,Levante,5,0,0,46,45,4,65,15,11,1,0,0,118,5,27,15.6
49,Kike Barja,es ESP,"MF,FW",Osasuna,0,0,0,4,4,0,10,0,1,0,0,0,23,5,6,45.5
50,Antonio Barragán,es ESP,DF,Betis,3,0,0,9,13,1,34,8,5,0,1,0,36,7,7,50
51,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,1,0,0,14,5,1,23,3,9,0,1,0,23,4,6,40
52,Marc Bartra,es ESP,"DF,MF",Betis,8,0,0,34,27,1,2,35,34,0,3,0,152,98,66,59.8
53,Gil Bastião Dias,pt POR,"MF,DF",Granada,1,0,0,8,1,0,4,3,14,0,0,0,23,5,9,35.7
54,Fran Beltrán,es ESP,MF,Celta Vigo,2,1,0,12,11,1,17,14,19,0,1,0,114,8,30,21.1
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,1,0,0,2,0,1,0,0,0,0,0,0,6,2,0,100
56,Karim Benzema,fr FRA,FW,Real Madrid,0,0,0,21,15,27,23,7,8,0,0,0,71,29,38,43.3
57,Yuri Berchiche,es ESP,DF,Athletic Club,7,0,0,32,49,2,106,30,35,0,2,0,211,54,24,69.2
58,Markel Bergara,es ESP,MF,Getafe,2,0,0,3,0,0,2,0,0,0,0,0,2,1,2,33.3
59,Sergio Bermejo,es ESP,"MF,FW",Celta Vigo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
60,Pedro Bigas,es ESP,DF,Eibar,2,0,0,9,19,2,9,36,9,0,1,0,87,65,39,62.5
61,Rubén Blanco,es ESP,GK,Celta Vigo,4,0,0,1,4,0,0,0,1,0,1,0,18,8,1,88.9
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,1,0,0,17,12,1,85,24,32,0,1,0,116,24,44,35.3
