,,,,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,0.7,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,25.9,5,0,0,45,32,2,119,23,42,0,2,0,160,20,33,37.7,Matches
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,,Matches
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,17.3,1,0,0,23,23,1,32,27,18,0,0,0,81,19,22,46.3,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,14.3,3,0,0,13,13,1,1,25,17,0,0,0,89,42,40,51.2,Matches
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,9.6,3,1,1,10,4,0,18,19,14,0,0,0,49,14,3,82.4,Matches
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,29,10,8,55.6,Matches
8,Jony Álamo,es ESP,MF,Elche,18,2001,0.8,0,0,0,0,2,0,0,1,1,0,0,0,7,0,1,0,Matches
9,Jordi Alba,es ESP,"DF,FW",Barcelona,31,1989,33.6,9,0,0,20,15,10,119,49,30,0,0,1,218,4,8,33.3,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,34.6,7,0,0,13,16,1,6,22,15,0,0,0,175,65,42,60.7,Matches
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,17.2,0,0,0,7,8,17,3,9,3,0,0,0,31,13,44,22.8,Matches
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,10.1,2,0,0,12,4,1,0,16,4,0,0,1,34,17,26,39.5,Matches
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,24.1,10,0,0,47,44,0,10,31,29,0,0,0,153,52,46,53.1,Matches
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,9.2,5,0,0,29,22,4,63,3,10,0,0,0,42,13,9,59.1,Matches
15,Carles Aleñá,es ESP,MF,Barcelona,22,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,50,Matches
16,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,15.2,1,0,0,20,26,0,60,2,10,0,0,0,75,14,34,29.2,Matches
17,Alfon,es ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,Matches
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,17.4,3,0,0,38,16,0,9,22,25,0,0,0,103,45,45,50,Matches
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,21.6,6,0,0,20,15,1,5,53,12,0,0,0,126,58,45,56.3,Matches
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,0.5,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,,Matches
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,8.9,1,0,0,13,6,0,2,14,10,1,0,0,45,22,26,45.8,Matches
22,Ángel,es ESP,GK,Granada,18,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,Matches
23,José Ángel,es ESP,DF,Eibar,30,1989,10,3,0,0,8,4,0,59,13,8,0,0,0,81,17,12,58.6,Matches
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,1.5,0,0,0,2,1,1,0,3,0,0,0,0,10,9,8,52.9,Matches
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,0.3,1,0,0,2,2,0,2,0,0,0,0,0,1,2,0,100,Matches
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,0.3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,50,Matches
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,33.1,11,0,0,58,73,1,123,42,39,0,0,0,204,54,53,50.5,Matches
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,27,5,0,0,30,4,0,2,43,16,0,0,0,134,61,46,57,Matches
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,16.8,3,0,0,12,17,2,0,20,11,1,1,0,104,51,22,69.9,Matches
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,31.2,8,0,0,36,13,0,43,69,26,0,2,0,245,68,53,56.2,Matches
31,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,0.5,1,0,0,3,1,1,0,0,0,0,0,0,1,0,3,0,Matches
32,Sergio Arribas,es ESP,"MF,FW",Real Madrid,18,2001,1.5,1,0,0,1,2,2,1,4,1,0,0,0,11,2,2,50,Matches
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36,2,0,0,1,2,0,0,0,0,0,1,0,40,7,0,100,Matches
34,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,20.8,1,0,0,6,28,6,97,11,6,0,0,0,84,10,7,58.8,Matches
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,31.8,9,0,0,24,53,13,28,16,3,0,1,0,113,16,45,26.2,Matches
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,9.3,1,0,0,10,2,0,4,9,9,0,0,0,57,25,16,61,Matches
37,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,26,1994,2.2,0,0,0,4,5,2,2,1,2,0,0,0,9,3,6,33.3,Matches
38,Ramon Azeez,ng NGA,MF,Granada,27,1992,1.1,0,0,0,1,1,0,1,1,1,0,0,0,4,4,0,100,Matches
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,8.7,1,0,0,10,6,6,7,3,5,0,0,0,19,9,13,40.9,Matches
40,Édgar Badía,es ESP,GK,Elche,28,1992,30,0,0,0,0,3,0,0,0,0,0,0,0,50,6,2,75,Matches
41,Alex Baena,es ESP,MF,Villarreal,19,2001,1.5,0,0,0,2,4,0,4,1,3,0,0,0,3,0,2,0,Matches
42,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,6,0,0,0,5,8,2,12,3,6,0,0,0,21,8,10,44.4,Matches
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,18.8,0,0,0,17,15,1,44,7,15,0,0,0,84,14,16,46.7,Matches
44,Barcia,es ESP,DF,Granada,19,2000,1,1,0,0,2,1,0,1,3,1,1,0,0,7,2,0,100,Matches
45,Enis Bardhi,mk MKD,MF,Levante,25,1995,18.7,4,0,0,27,24,4,65,21,12,0,0,0,120,5,19,20.8,Matches
46,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,15.9,2,0,0,15,23,2,72,16,5,1,0,0,103,21,15,58.3,Matches
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1,0,0,0,1,3,0,6,2,1,0,0,0,4,0,0,,Matches
48,Antonio Barragán,es ESP,DF,Elche,33,1987,24.8,8,0,0,35,25,2,53,33,14,1,1,0,92,33,19,63.5,Matches
49,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,14.5,7,0,0,40,20,4,34,6,19,0,0,0,78,3,21,12.5,Matches
50,Marc Bartra,es ESP,DF,Betis,29,1991,18.8,3,0,0,29,15,2,2,40,16,0,4,0,86,58,41,58.6,Matches
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,Matches
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,27.7,10,1,0,35,30,1,3,29,16,0,0,0,139,43,22,66.2,Matches
53,Jon Bautista,es ESP,FW,Real Sociedad,25,1995,4.1,3,0,0,11,6,2,4,2,3,0,0,0,16,23,23,50,Matches
54,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,21,1999,15.5,3,0,0,16,10,0,6,16,22,0,0,0,107,4,21,16,Matches
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,32.2,2,0,0,17,25,23,18,8,6,0,0,0,69,26,38,40.6,Matches
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,18.7,3,0,0,17,30,1,76,11,19,1,0,0,109,24,12,66.7,Matches
58,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,25.3,4,0,0,48,46,18,147,18,31,1,0,0,110,23,42,35.4,Matches
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,17,1,0,0,21,6,0,9,23,9,0,2,0,93,50,39,56.2,Matches
60,Blanco,es ESP,"MF,FW",Real Madrid,20,2000,2.4,0,0,0,6,2,0,2,3,2,0,0,0,14,0,5,0,Matches
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,6.4,1,0,0,4,8,2,10,8,4,0,0,0,24,2,8,20,Matches
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,18.2,0,1,0,1,2,0,0,0,0,0,0,0,17,1,0,100,Matches
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,0.1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,2.8,0,0,0,8,3,0,2,8,2,0,0,0,17,5,16,23.8,Matches
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33,3,0,0,0,4,0,0,0,1,0,0,1,31,7,0,100,Matches
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,29.9,9,1,1,95,34,10,11,19,31,0,0,0,93,43,102,29.7,Matches
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,13.1,3,0,0,11,20,15,5,6,4,0,0,0,39,16,14,53.3,Matches
68,Darko Brasanac,rs SRB,MF,Osasuna,28,1992,10.1,4,0,0,27,7,1,11,7,6,0,0,0,43,27,17,61.4,Matches
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,Matches
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20,3,0,0,0,0,0,0,0,0,0,0,0,24,4,0,100,Matches
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,14.7,4,1,0,45,20,0,3,13,15,0,2,0,74,22,26,45.8,Matches
72,Juan Brunet,ar ARG,MF,Granada,22,1998,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,66.7,Matches
73,Bryan,es ESP,FW,Sevilla,19,2001,0.1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,50,Matches
74,Bryan,es ESP,"MF,FW",Eibar,19,2001,25.2,6,0,0,24,47,12,192,17,18,0,0,0,139,12,35,25.5,Matches
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,18.1,3,0,0,30,31,19,2,2,12,0,0,0,55,134,83,61.8,Matches
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,12.3,5,0,0,14,3,1,0,23,6,0,0,0,66,30,38,44.1,Matches
77,Burgui,es ESP,MF,Alavés,26,1993,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,Matches
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,28,9,0,0,45,60,0,3,53,35,0,0,0,182,40,39,50.6,Matches
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,14.7,9,0,0,24,20,1,3,13,14,0,0,0,70,40,20,66.7,Matches
80,Cala,es ESP,DF,Cádiz,30,1989,25.2,8,0,0,31,30,1,0,35,12,1,1,0,117,58,36,61.7,Matches
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,17.2,4,0,0,42,39,17,9,1,6,0,0,0,52,86,92,48.3,Matches
82,Dani Calvo,es ESP,DF,Elche,26,1994,19.8,3,0,0,19,15,2,1,11,13,0,0,0,81,34,41,45.3,Matches
83,José Campaña,es ESP,MF,Levante,27,1993,8.3,0,0,0,7,13,1,45,13,6,0,0,0,47,4,8,33.3,Matches
84,Sergio Canales,es ESP,"MF,FW",Betis,29,1991,27.8,4,0,0,15,21,2,103,13,9,0,0,0,157,8,24,25,Matches
85,Álex Cantero,es ESP,FW,Levante,20,2000,2.6,1,0,0,5,1,1,1,0,1,0,0,0,7,3,6,33.3,Matches
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,23.7,5,0,0,26,9,1,60,25,18,0,1,0,119,21,22,48.8,Matches
