,,,,,,,Total,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1,Antonio Adán,es ESP,GK,Atlético Madrid,0.3,4,6,66.7,100,84,2,2,100,1,1,100,1,3,33.3
2,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,2.3,32,57,56.1,419,68,21,32,65.6,6,13,46.2,2,5,40
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,20.1,691,972,71.1,10575,4948,376,435,86.4,251,340,73.8,38,108,35.2
4,Martin Agirregabiria,es ESP,DF,Alavés,23.3,714,1028,69.5,11577,5419,374,449,83.3,268,375,71.5,52,128,40.6
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,27.8,1078,1250,86.2,21536,7007,305,336,90.8,647,708,91.4,112,167,67.1
6,Jordi Alba,es ESP,DF,Barcelona,24.3,1858,2149,86.5,26342,7785,1109,1203,92.2,566,652,86.8,95,137,69.3
7,Raúl Albiol,es ESP,DF,Villarreal,36,1635,1954,83.7,36891,12724,388,448,86.6,909,990,91.8,320,476,67.2
8,Paco Alcácer,es ESP,FW,Villarreal,10.3,179,227,78.9,2197,326,115,132,87.1,38,54,70.4,6,8,75
9,Rubén Alcaraz,es ESP,MF,Valladolid,21.4,830,1066,77.9,17151,5016,316,366,86.3,353,406,86.9,148,248,59.7
10,Álex Alegría,es ESP,FW,Mallorca,1.2,21,34,61.8,296,29,15,20,75,2,5,40,2,2,100
11,Carles Aleñá,es ESP,MF,Barcelona,1.9,141,157,89.8,2257,555,75,78,96.2,47,50,94,13,19,68.4
12,Carles Aleñá,es ESP,"MF,FW",Betis,8.2,333,393,84.7,5830,1277,146,167,87.4,144,161,89.4,31,39,79.5
13,Sergio Álvarez,es ESP,"MF,DF",Eibar,12.7,308,438,70.3,5993,1672,111,145,76.6,154,189,81.5,39,86,45.3
14,Sergio Álvarez,es ESP,GK,Celta Vigo,2,39,54,72.2,956,636,12,12,100,15,16,93.8,12,26,46.2
15,Yeray Álvarez,es ESP,DF,Athletic Club,31.2,1164,1500,77.6,23341,8808,379,443,85.6,601,693,86.7,164,309,53.1
16,Ibrahim Amadou,fr FRA,MF,Leganés,8.6,222,280,79.3,3296,743,121,141,85.8,81,98,82.7,10,18,55.6
17,Amath,sn SEN,MF,Getafe,0.7,11,17,64.7,166,51,7,8,87.5,2,2,100,1,1,100
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,8.8,145,194,74.7,1846,330,96,116,82.8,35,50,70,4,10,40
19,José Ángel,es ESP,DF,Eibar,26.2,990,1498,66.1,19813,9093,406,479,84.8,395,552,71.6,167,388,43
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,13,367,462,79.4,10505,7369,53,54,98.1,175,178,98.3,137,227,60.4
21,Antoñito,es ESP,"DF,MF",Valladolid,11.4,326,464,70.3,5201,2301,174,205,84.9,124,171,72.5,22,63,34.9
22,Vitorino Antunes,pt POR,MF,Getafe,0.1,0,1,0,0,0,0,0,,0,1,0,0,0,
23,Anuar,ma MAR,"MF,FW",Valladolid,2.1,89,105,84.8,1400,235,42,50,84,40,43,93,4,8,50
24,Mauro Arambarri,uy URU,MF,Getafe,34.1,621,947,65.6,12632,3367,222,316,70.3,252,345,73,122,213,57.3
25,Néstor Araujo,mx MEX,DF,Celta Vigo,32.1,1320,1559,84.7,26029,9415,380,428,88.8,807,885,91.2,119,207,57.5
26,Ronald Araújo,uy URU,DF,Barcelona,2.6,195,208,93.8,3592,1013,67,68,98.5,108,115,93.9,18,21,85.7
27,Anaitz Arbilla,es ESP,DF,Eibar,22.3,872,1215,71.8,19842,7149,274,322,85.1,400,501,79.8,190,349,54.4
28,Alphonse Areola,fr FRA,GK,Real Madrid,4,113,134,84.3,2890,1886,17,17,100,65,65,100,31,52,59.6
29,Santiago Arias,co COL,DF,Atlético Madrid,12,482,647,74.5,6907,3131,271,306,88.6,154,213,72.3,28,70,40
30,José Arnaiz,es ESP,"FW,MF",Osasuna,8.8,130,172,75.6,1830,426,80,97,82.5,32,42,76.2,9,13,69.2
31,José Arnaiz,es ESP,MF,Leganés,3.7,72,95,75.8,1121,321,37,44,84.1,27,34,79.4,5,11,45.5
32,Sergio Asenjo,es ESP,GK,Villarreal,34,742,1035,71.7,20401,14096,138,139,99.3,378,385,98.2,221,503,43.9
33,Marco Asensio,es ESP,FW,Real Madrid,3.7,131,158,82.9,1962,404,79,88,89.8,31,40,77.5,12,17,70.6
34,Iago Aspas,es ESP,FW,Celta Vigo,36.2,991,1311,75.6,13741,2801,551,668,82.5,249,311,80.1,70,106,66
35,Roger Assalé,ci CIV,"FW,MF",Leganés,5.9,100,124,80.6,1413,330,60,68,88.2,30,36,83.3,5,7,71.4
36,Miguel Atienza,es ESP,MF,Eibar,0.3,9,14,64.3,153,18,4,6,66.7,5,6,83.3,0,1,0
37,Ezequiel Ávila,ar ARG,FW,Osasuna,17.7,170,316,53.8,3015,713,83,139,59.7,57,98,58.2,23,47,48.9
38,Javier Avilés,es ESP,"MF,FW",Leganés,2,47,69,68.1,748,296,25,34,73.5,10,12,83.3,7,11,63.6
39,Chidozie Awaziem,ng NGA,DF,Leganés,22.2,604,821,73.6,11649,5056,243,278,87.4,253,320,79.1,94,190,49.5
40,Ramon Azeez,ng NGA,MF,Granada,15.1,303,388,78.1,4820,1171,175,200,87.5,88,117,75.2,32,43,74.4
41,Iddrisu Baba,gh GHA,MF,Mallorca,32.3,1029,1276,80.6,17335,5665,486,570,85.3,422,488,86.5,85,135,63
42,Carlos Bacca,co COL,FW,Villarreal,7.6,99,134,73.9,1308,131,60,72,83.3,29,41,70.7,3,5,60
43,Alex Baena,es ESP,MF,Villarreal,0.2,4,4,100,46,0,3,3,100,1,1,100,0,0,
44,Gareth Bale,wls WAL,"FW,MF",Real Madrid,12.1,363,500,72.6,5861,1344,206,238,86.6,113,152,74.3,37,82,45.1
45,Mikel Balenziaga,es ESP,DF,Athletic Club,6.3,183,262,69.8,2816,1179,109,127,85.8,56,81,69.1,15,32,46.9
46,Éver Banega,ar ARG,MF,Sevilla,27.5,1959,2401,81.6,38746,12478,763,843,90.5,785,899,87.3,340,500,68
47,Federico Barba,it ITA,DF,Valladolid,5,140,218,64.2,2333,960,72,88,81.8,57,87,65.5,10,34,29.4
48,Enis Bardhi,mk MKD,MF,Levante,23.5,627,865,72.5,9544,2989,370,437,84.7,163,230,70.9,54,106,50.9
49,Kike Barja,es ESP,"MF,FW",Osasuna,3.5,57,84,67.9,838,203,35,42,83.3,17,27,63,2,6,33.3
50,Antonio Barragán,es ESP,DF,Betis,7.1,377,468,80.6,6000,2033,186,202,92.1,152,186,81.7,25,55,45.5
51,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,4.9,134,186,72,2043,491,74,88,84.1,43,61,70.5,9,15,60
52,Marc Bartra,es ESP,"DF,MF",Betis,28,1426,1681,84.8,27857,9473,488,538,90.7,759,842,90.1,161,255,63.1
53,Gil Bastião Dias,pt POR,"MF,DF",Granada,4,101,132,76.5,1571,509,53,66,80.3,39,45,86.7,5,10,50
54,Fran Beltrán,es ESP,MF,Celta Vigo,20.3,761,874,87.1,12503,2797,354,382,92.7,313,338,92.6,63,87,72.4
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,1.8,41,54,75.9,689,103,22,28,78.6,14,17,82.4,3,5,60
56,Karim Benzema,fr FRA,FW,Real Madrid,34.9,1108,1315,84.3,15357,2781,699,791,88.4,263,311,84.6,73,89,82
57,Yuri Berchiche,es ESP,DF,Athletic Club,31.7,1324,1684,78.6,21617,8101,706,807,87.5,448,563,79.6,125,187,66.8
58,Markel Bergara,es ESP,MF,Getafe,0.8,9,18,50,117,18,6,8,75,3,7,42.9,0,1,0
59,Sergio Bermejo,es ESP,"MF,FW",Celta Vigo,0.1,3,3,100,46,12,1,1,100,2,2,100,0,0,
60,Pedro Bigas,es ESP,DF,Eibar,19.7,482,731,65.9,10813,4464,124,154,80.5,256,329,77.8,98,224,43.8
61,Rubén Blanco,es ESP,GK,Celta Vigo,32.9,625,987,63.3,19546,15023,135,135,100,242,246,98.4,247,601,41.1
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,17.8,659,963,68.4,12159,4687,289,337,85.8,243,341,71.3,101,220,45.9
63,Alejandro Blesa,es ESP,MF,Levante,0,3,5,60,41,14,1,1,100,2,3,66.7,0,1,0
64,Yassine Bounou,ma MAR,GK,Sevilla,5.5,123,168,73.2,3771,2689,22,23,95.7,53,55,96.4,48,90,53.3
65,Filip Bradari?,hr CRO,MF,Celta Vigo,7.8,312,401,77.8,4737,1635,162,191,84.8,105,133,78.9,20,35,57.1
66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,4.5,98,130,75.4,1142,114,67,80,83.8,23,34,67.6,1,2,50
67,Martin Braithwaite,dk DEN,"FW,MF",Leganés,21.5,246,373,66,3373,721,163,215,75.8,63,98,64.3,10,22,45.5
68,Brandon,es ESP,FW,Osasuna,4.5,81,118,68.6,1042,183,49,64,76.6,19,26,73.1,4,6,66.7
69,Darko Brasanac,rs SRB,MF,Osasuna,24.9,556,772,72,8612,2494,288,375,76.8,207,262,79,33,49,67.3
70,Yan Brice Eteki,cm CMR,MF,Granada,16.7,316,410,77.1,5102,1454,154,186,82.8,123,152,80.9,24,37,64.9
71,Bryan,es ESP,"MF,FW",Leganés,6.2,141,219,64.4,1849,614,96,111,86.5,30,50,60,7,26,26.9
72,Bryan,es ESP,FW,Sevilla,0.7,22,26,84.6,211,43,17,18,94.4,2,3,66.7,0,2,0
73,Ante Budimir,hr CRO,FW,Mallorca,30.7,372,587,63.4,3941,773,233,336,69.3,66,119,55.5,8,15,53.3
74,Esteban Burgos,ar ARG,DF,Eibar,12.4,246,394,62.4,6223,2590,51,65,78.5,121,158,76.6,73,164,44.5
75,Burgui,es ESP,MF,Alavés,0.2,4,7,57.1,54,13,3,3,100,0,1,0,1,2,50
76,Oliver Burke,sct SCO,"MF,FW",Alavés,15.9,218,340,64.1,2505,616,153,200,76.5,39,71,54.9,6,12,50
77,Sergio Busquets,es ESP,MF,Barcelona,27.6,2317,2587,89.6,37094,11315,1099,1182,93,929,1015,91.5,176,216,81.5
78,Unai Bustinza,es ESP,DF,Leganés,29.8,904,1350,67,17307,7521,369,447,82.6,405,559,72.5,116,281,41.3
79,Erick Cabaco,uy URU,DF,Getafe,3,88,144,61.1,2227,1020,21,30,70,37,55,67.3,28,51,54.9
80,Erick Cabaco,uy URU,DF,Levante,9,283,376,75.3,6414,3144,89,103,86.4,135,153,88.2,58,113,51.3
81,Ariday Cabrera,es ESP,MF,Mallorca,0.4,9,11,81.8,167,40,3,5,60,6,6,100,0,0,
82,Leandro Cabrera,uy URU,DF,Getafe,17,287,583,49.2,8321,3989,44,72,61.1,126,222,56.8,115,270,42.6
83,Leandro Cabrera,uy URU,DF,Espanyol,17,562,860,65.3,12870,6132,133,168,79.2,314,401,78.3,107,251,42.6
84,Fernando Calero,es ESP,DF,Espanyol,11.6,516,601,85.9,9688,3285,172,186,92.5,287,310,92.6,50,92,54.3
85,Jonathan Calleri,ar ARG,FW,Espanyol,20.1,186,367,50.7,2555,644,113,197,57.4,43,94,45.7,13,26,50
86,Víctor Camarasa,es ESP,MF,Alavés,14.4,428,542,79,7273,1603,215,250,86,152,179,84.9,44,77,57.1
87,Sergio Camello,es ESP,FW,Atlético Madrid,0.3,2,6,33.3,30,7,1,1,100,1,1,100,0,1,0
88,José Campaña,es ESP,MF,Levante,35.1,1643,2150,76.4,27697,10035,842,956,88.1,565,718,78.7,177,322,55
89,Xisco Campos,es ESP,DF,Mallorca,5.3,151,204,74,3149,1123,48,58,82.8,75,92,81.5,25,47,53.2
90,Víctor Campuzano,es ESP,FW,Espanyol,9.7,94,152,61.8,1207,258,65,85,76.5,22,36,61.1,4,8,50
91,Sergio Canales,es ESP,"MF,FW",Betis,35.1,1888,2249,83.9,32304,7182,898,975,92.1,703,798,88.1,213,331,64.4
92,Ander Capa,es ESP,DF,Athletic Club,31.9,1165,1616,72.1,17005,6933,677,794,85.3,387,538,71.9,54,151,35.8
93,Marc Cardona,es ESP,FW,Osasuna,7.8,128,177,72.3,1745,308,80,102,78.4,34,43,79.1,7,11,63.6
94,Diego Carlos,br BRA,DF,Sevilla,34.8,1613,1919,84.1,33573,13083,509,558,91.2,831,908,91.5,241,396,60.9
95,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,7,166,227,73.1,2163,734,98,116,84.5,30,47,63.8,14,30,46.7
96,Daniel Carriço,pt POR,DF,Sevilla,9.4,508,565,89.9,9391,3220,186,201,92.5,261,276,94.6,50,76,65.8
97,Guido Carrillo,ar ARG,FW,Leganés,13.5,225,361,62.3,2781,490,134,195,68.7,66,107,61.7,4,13,30.8
98,Dani Carvajal,es ESP,DF,Real Madrid,30.4,2024,2408,84.1,32538,10711,1091,1185,92.1,742,863,86,160,253,63.2
99,William Carvalho,pt POR,MF,Betis,9.9,553,632,87.5,9485,2590,253,284,89.1,232,248,93.5,49,64,76.6
100,Casemiro,br BRA,MF,Real Madrid,34.3,1817,2185,83.2,34678,10326,812,901,90.1,640,751,85.2,305,409,74.6
101,Santi Cazorla,es ESP,MF,Villarreal,27.2,1407,1727,81.5,26151,7891,603,676,89.2,527,605,87.1,225,337,66.8
102,Sofian Chakla,ma MAR,DF,Villarreal,2,75,91,82.4,1612,578,18,21,85.7,46,52,88.5,11,18,61.1
103,Charles,br BRA,FW,Eibar,14.5,233,347,67.1,2798,431,153,206,74.3,52,81,64.2,7,9,77.8
104,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,2.3,35,62,56.5,351,73,22,34,64.7,4,9,44.4,1,3,33.3
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,6.7,238,265,89.8,3722,961,118,133,88.7,85,90,94.4,22,25,88
106,Chema,es ESP,DF,Getafe,3.4,76,130,58.5,1851,706,14,23,60.9,42,52,80.8,19,47,40.4
107,Denis Cheryshev,ru RUS,"MF,FW",Valencia,10.3,231,354,65.3,3508,992,117,156,75,82,117,70.1,15,37,40.5
108,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,22.8,546,762,71.7,9159,2208,274,340,80.6,198,257,77,57,92,62
109,Churripi,es ESP,GK,Valladolid,2.7,37,99,37.4,1459,1257,5,5,100,12,12,100,20,79,25.3
110,Jasper Cillessen,nl NED,GK,Valencia,23.3,482,760,63.4,13785,10632,106,107,99.1,198,202,98,172,439,39.2
111,Óscar Clemente,es ESP,MF,Atlético Madrid,0,2,2,100,29,0,1,1,100,1,1,100,0,0,
112,Carlos Clerc,es ESP,DF,Levante,20.5,692,966,71.6,10571,4589,414,472,87.7,217,298,72.8,46,139,33.1
113,Coke,es ESP,DF,Levante,11,462,586,78.8,8220,3362,224,255,87.8,167,197,84.8,57,95,60
114,Álex Collado,es ESP,FW,Barcelona,0.1,9,10,90,119,8,6,7,85.7,1,1,100,1,1,100
115,Francis Coquelin,fr FRA,MF,Valencia,21.2,897,1004,89.3,15765,3753,394,413,95.4,353,382,92.4,100,138,72.5
116,Sébastien Corchia,fr FRA,DF,Espanyol,3,143,178,80.3,2264,755,75,80,93.8,58,67,86.6,8,19,42.1
117,Iñigo Córdoba,es ESP,FW,Athletic Club,16,317,460,68.9,4011,1069,198,232,85.3,84,132,63.6,10,30,33.3
118,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,22.9,431,591,72.9,5165,1280,278,333,83.5,87,127,68.5,11,29,37.9
119,Rober Correa,es ESP,DF,Eibar,10.3,369,523,70.6,6307,2542,181,218,83,141,202,69.8,36,72,50
120,Thierry Correia,pt POR,DF,Valencia,2.9,104,137,75.9,1752,642,51,58,87.9,40,43,93,11,24,45.8
121,Antonio Cortés,es ESP,"FW,MF",Granada,2,17,33,51.5,178,45,11,16,68.8,4,9,44.4,0,1,0
122,Diego Costa,es ESP,FW,Atlético Madrid,15,253,369,68.6,3320,629,143,187,76.5,64,89,71.9,12,19,63.2
123,Jaume Costa,es ESP,DF,Valencia,15.4,671,835,80.4,10608,3428,342,385,88.8,280,328,85.4,38,83,45.8
124,David Costas,es ESP,DF,Celta Vigo,3.8,178,200,89,3347,1238,57,59,96.6,109,117,93.2,10,15,66.7
125,Thibaut Courtois,be BEL,GK,Real Madrid,34,861,1086,79.3,21460,13228,141,141,100,535,539,99.3,181,397,45.6
126,Sebastián Cristóforo,uy URU,MF,Eibar,9.7,216,299,72.2,3594,990,113,133,85,77,96,80.2,20,52,38.5
127,Cucho,co COL,"FW,MF",Mallorca,16.5,295,448,65.8,4019,980,166,223,74.4,66,95,69.5,22,39,56.4
128,Marc Cucurella,es ESP,"MF,DF",Getafe,36,916,1409,65,14483,5633,479,587,81.6,307,448,68.5,84,224,37.5
129,Iván Cuéllar,es ESP,GK,Leganés,27,421,825,51,17357,14550,27,29,93.1,130,135,96.3,264,657,40.2
130,Moanes Dabbur,il ISR,FW,Sevilla,0.3,14,18,77.8,206,68,9,10,90,4,4,100,1,2,50
131,Sergi Darder,es ESP,MF,Espanyol,29.5,805,1090,73.9,14722,4157,361,456,79.2,303,381,79.5,111,186,59.7
132,Ousmane Dembélé,fr FRA,FW,Barcelona,4,192,260,73.8,2989,566,113,124,91.1,56,76,73.7,17,32,53.1
133,Deyverson,br BRA,FW,Getafe,2.3,31,66,47,555,120,14,23,60.9,8,16,50,5,14,35.7
134,Mouctar Diakhaby,gn GUI,DF,Valencia,16,718,813,88.3,13713,4593,237,262,90.5,395,422,93.6,73,105,69.5
135,Brahim Díaz,es ESP,FW,Real Madrid,0.7,33,41,80.5,394,83,23,27,85.2,7,7,100,1,1,100
136,Víctor Díaz,es ESP,DF,Granada,32,1027,1556,66,19946,9339,408,501,81.4,424,585,72.5,163,367,44.4
137,Papakouli Diop,sn SEN,MF,Eibar,25,564,789,71.5,10569,3054,227,295,76.9,258,325,79.4,68,126,54
138,Djené,tg TOG,DF,Getafe,34,711,1031,69,15530,6645,196,255,76.9,376,477,78.8,131,262,50
139,Naïs Djouahra,fr FRA,FW,Real Sociedad,0.3,14,23,60.9,170,49,6,9,66.7,5,6,83.3,0,2,0
140,Marko Dmitrovi?,rs SRB,GK,Eibar,35,485,1065,45.5,22089,19304,41,41,100,126,132,95.5,316,883,35.8
141,Jaume Doménech,es ESP,GK,Valencia,14.7,304,461,65.9,9100,7473,77,77,100,96,102,94.1,125,276,45.3
142,Domingos Duarte,pt POR,DF,Granada,34.3,988,1278,77.3,21340,7870,245,292,83.9,574,658,87.2,159,293,54.3
143,Óscar Duarte,cr CRC,DF,Levante,5.4,196,239,82,4336,1915,52,58,89.7,107,116,92.2,35,58,60.3
144,Rubén Duarte,es ESP,DF,Alavés,29.6,912,1356,67.3,15201,7662,451,533,84.6,355,516,68.8,80,226,35.4
145,Hugo Duro,es ESP,"FW,MF",Getafe,4.2,40,75,53.3,448,142,25,37,67.6,10,18,55.6,1,4,25
146,Aritz Elustondo,es ESP,DF,Real Sociedad,16.8,811,991,81.8,15660,5063,284,331,85.8,431,495,87.1,84,136,61.8
147,Rodrigo Ely,br BRA,DF,Alavés,23.6,671,893,75.1,14374,5944,199,241,82.6,350,416,84.1,113,206,54.9
148,Adri Embarba,es ESP,"MF,FW",Espanyol,15.2,239,436,54.8,4043,1123,123,161,76.4,78,129,60.5,25,101,24.8
149,Emerson,br BRA,DF,Betis,31.5,1265,1615,78.3,19097,6175,708,814,87,387,488,79.3,109,170,64.1
150,Youssef En-Nesyri,ma MAR,FW,Leganés,15.4,153,270,56.7,2183,416,88,142,62,35,59,59.3,13,25,52
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,8.8,96,156,61.5,1274,139,61,79,77.2,25,42,59.5,4,6,66.7
152,Sergi Enrich,es ESP,FW,Eibar,20.7,370,540,68.5,4787,655,251,331,75.8,77,125,61.6,18,26,69.2
153,Javier Eraso,es ESP,MF,Leganés,9.1,209,282,74.1,2943,593,131,154,85.1,50,68,73.5,14,33,42.4
154,Gonzalo Escalante,ar ARG,MF,Eibar,18.6,447,666,67.1,7471,2157,227,289,78.5,160,240,66.7,46,81,56.8
155,Aarón Escandell,es ESP,GK,Granada,3,73,126,57.9,2385,1855,15,15,100,24,24,100,34,87,39.1
156,Sergio Escudero,es ESP,DF,Sevilla,8.6,461,582,79.2,7198,2956,255,285,89.5,152,185,82.2,36,70,51.4
157,Bernardo Espinosa,co COL,DF,Espanyol,25.1,827,1122,73.7,17130,6785,217,259,83.8,500,620,80.6,97,198,49
158,Vicente Esquerdo,es ESP,"MF,FW",Valencia,0.2,8,12,66.7,116,59,5,5,100,1,4,25,1,1,100
159,Pervis Estupiñán,ec ECU,DF,Osasuna,33.1,1311,1831,71.6,20958,8922,714,832,85.8,447,596,75,116,259,44.8
160,Oghenekaro Etebo,ng NGA,MF,Getafe,6.4,127,218,58.3,2313,638,57,76,75,47,78,60.3,17,36,47.2
161,Beñat Etxebarria,es ESP,MF,Athletic Club,4.4,162,199,81.4,2984,862,68,74,91.9,64,75,85.3,24,42,57.1
162,Xabier Etxeita,es ESP,DF,Getafe,16.1,237,439,54,5322,2653,56,105,53.3,126,197,64,48,113,42.5
163,Edu Expósito,es ESP,MF,Eibar,25.7,743,928,80.1,13396,3307,344,411,83.7,289,343,84.3,92,130,70.8
164,Fabricio,es ESP,GK,Mallorca,1,25,33,75.8,814,630,0,0,,13,13,100,12,20,60
165,Fayçal Fajr,ma MAR,MF,Getafe,4.5,115,190,60.5,2700,893,41,56,73.2,28,44,63.6,39,76,51.3
166,Eliseo Falcon,es ESP,DF,Levante,0.8,21,24,87.5,401,140,7,7,100,11,11,100,2,4,50
167,Ansu Fati,es ESP,FW,Barcelona,11.4,438,530,82.6,4762,787,324,358,90.5,61,83,73.5,10,18,55.6
168,Aleix Febas,es ESP,"MF,FW",Mallorca,18.8,573,679,84.4,7906,1956,340,375,90.7,157,185,84.9,32,44,72.7
169,Zouhair Feddal,ma MAR,DF,Betis,15.9,921,1091,84.4,18770,6733,298,320,93.1,469,520,90.2,137,221,62
170,Ljubomir Fejsa,rs SRB,MF,Alavés,8.7,232,289,80.3,3764,852,108,130,83.1,90,102,88.2,24,33,72.7
