,,,,,,Total,,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1,Sabit Abdulai,gh GHA,MF,Getafe,0.7,7,14,50,140,10,2,5,40,4,4,100,1,3,33.3
2,Marcos Acuña,ar ARG,DF,Sevilla,25.9,1415,1767,80.1,24839,9703,675,730,92.5,542,639,84.8,159,310,51.3
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,0.4,7,10,70,99,0,5,5,100,1,3,33.3,0,1,0
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,17.3,534,751,71.1,8856,4049,268,318,84.3,204,283,72.1,48,106,45.3
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,14.3,511,629,81.2,10079,3608,164,183,89.6,285,324,88,56,95,58.9
6,Carlos Akapo,gq EQG,DF,Cádiz,9.6,229,356,64.3,3877,1740,100,126,79.4,104,156,66.7,17,54,31.5
7,Paul Akouokou,ci CIV,MF,Betis,4.2,170,187,90.9,3040,728,72,79,91.1,77,80,96.3,17,23,73.9
8,Jony Álamo,es ESP,MF,Elche,0.8,14,16,87.5,255,64,5,6,83.3,7,8,87.5,1,1,100
9,Jordi Alba,es ESP,"DF,FW",Barcelona,33.6,2479,2929,84.6,34728,9855,1520,1643,92.5,728,867,84,117,192,60.9
10,Raúl Albiol,es ESP,DF,Villarreal,34.6,1829,2065,88.6,37606,12938,519,557,93.2,1047,1126,93,242,333,72.7
11,Paco Alcácer,es ESP,FW,Villarreal,17.2,193,270,71.5,2269,375,106,135,78.5,40,58,69,10,14,71.4
12,Pedro Alcalá,es ESP,DF,Cádiz,10.1,205,282,72.7,4573,1737,46,57,80.7,115,129,89.1,39,83,47
13,Rubén Alcaraz,es ESP,MF,Valladolid,24.1,930,1131,82.2,18393,5237,384,433,88.7,371,404,91.8,157,237,66.2
14,Iván Alejo,es ESP,"MF,FW",Cádiz,9.2,127,229,55.5,1816,637,74,97,76.3,39,61,63.9,7,35,20
15,Carles Aleñá,es ESP,MF,Barcelona,0.5,36,39,92.3,624,177,17,19,89.5,11,12,91.7,6,6,100
16,Carles Aleñá,es ESP,"MF,FW",Getafe,15.2,390,591,66,6991,2309,185,218,84.9,142,200,71,51,124,41.1
17,Alfon,es ESP,MF,Celta Vigo,0.4,16,16,100,172,31,12,12,100,3,3,100,0,0,
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,17.4,531,698,76.1,9925,2528,199,257,77.4,244,288,84.7,72,114,63.2
19,Yeray Álvarez,es ESP,DF,Athletic Club,21.6,907,1107,81.9,18676,6666,301,349,86.2,441,485,90.9,151,226,66.8
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,0.5,9,14,64.3,130,36,5,6,83.3,3,4,75,1,2,50
21,Jon Ander Garrido,es ESP,MF,Cádiz,8.9,180,230,78.3,2990,1025,78,96,81.3,74,92,80.4,17,21,81
22,Ángel,es ESP,GK,Granada,1,14,31,45.2,627,593,0,0,,5,6,83.3,9,25,36
23,José Ángel,es ESP,DF,Eibar,10,510,692,73.7,9539,3682,226,260,86.9,187,245,76.3,80,143,55.9
24,Miguel Ángel Rubio,es ESP,DF,Valladolid,1.5,39,54,72.2,847,440,14,15,93.3,17,22,77.3,8,16,50
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,0.3,9,16,56.3,75,8,8,10,80,0,4,0,0,0,
26,Aritz Arambarri,es ESP,DF,Real Sociedad,0.3,13,19,68.4,240,92,4,6,66.7,7,8,87.5,2,4,50
27,Mauro Arambarri,uy URU,MF,Getafe,33.1,739,1093,67.6,15261,4087,268,339,79.1,289,389,74.3,153,291,52.6
