,,,,,,,,,Total,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,Matches
1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,191,226,84.5,3666,1177,56,67,83.6,113,119,95,18,28,64.3,0,0,0,0,0,8,0,0,7,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,1543,1963,78.6,29328,10206,662,722,91.7,640,767,83.4,219,392,55.9,3,3.5,4.1,-0.5,43,115,43,27,104,Matches
3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40,1,0.6,0.7,0.4,14,51,20,12,47,Matches
4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4,62,82,75.6,1721,1230,11,11,100,34,34,100,17,37,45.9,0,0,0,0,0,1,0,0,0,Matches
5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,30,42,71.4,396,45,14,20,70,12,15,80,0,0,,0,0.2,0.2,-0.2,1,3,0,0,2,Matches
6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,3,3,100,35,0,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1270,1567,81,26020,8332,359,420,85.5,740,830,89.2,159,278,57.2,0,0.5,0.5,-0.5,6,101,5,1,81,Matches
8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,611,832,73.4,10222,3919,291,341,85.3,246,322,76.4,52,109,47.7,0,0.4,1.1,-0.4,7,38,14,11,35,Matches
9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,45,55,81.8,581,186,29,32,90.6,13,15,86.7,1,2,50,0,0.7,0.8,-0.7,4,4,7,2,7,Matches
10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,284,325,87.4,4724,1363,142,156,91,121,136,89,17,24,70.8,0,0.2,0.3,-0.2,3,32,2,1,24,Matches
11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,1788,1968,90.9,29585,10903,831,870,95.5,804,859,93.6,102,161,63.4,3,2.1,3,0.9,21,143,15,3,100,Matches
12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,398,572,69.6,7977,2385,159,193,82.4,139,185,75.1,82,143,57.3,1,1.3,1.4,-0.3,14,41,7,4,38,Matches
13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,2334,2795,83.5,36392,12699,1218,1329,91.6,868,995,87.2,154,273,56.4,10,6.7,5.8,3.3,58,212,60,18,203,Matches
14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,1339,1560,85.8,28053,9682,355,392,90.6,780,850,91.8,186,277,67.1,0,0.1,0.2,-0.1,4,63,1,0,61,Matches
