,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
1,Antonio Adán,es ESP,GK,Atlético Madrid,32,1987,1,0,25,0.3,0,0,0,0,0,0,0
2,Aritz Aduriz,es ESP,FW,Athletic Club,38,1981,14,0,208,2.3,1,0,1,0,1,3,0
3,Lumor Agbenyenu,gh GHA,DF,Mallorca,22,1996,23,20,"1,805",20.1,1,0,1,0,0,5,1
4,Martin Agirregabiria,es ESP,DF,Alavés,23,1996,31,23,"2,099",23.3,1,1,1,0,0,5,1
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,23,1995,32,27,"2,502",27.8,0,1,0,0,0,4,0
6,Jordi Alba,es ESP,DF,Barcelona,30,1989,27,25,"2,187",24.3,2,5,2,0,0,7,0
7,Raúl Albiol,es ESP,DF,Villarreal,33,1985,36,36,"3,237",36,1,0,1,0,0,9,0
8,Paco Alcácer,es ESP,FW,Villarreal,25,1993,13,11,924,10.3,4,1,4,0,0,1,0
9,Rubén Alcaraz,es ESP,MF,Valladolid,28,1991,27,20,"1,927",21.4,2,2,2,0,0,10,0
10,Álex Alegría,es ESP,"FW,MF",Mallorca,26,1992,6,0,109,1.2,0,0,0,0,0,0,0
11,Carles Aleñá,es ESP,"MF,FW",Betis,21,1998,17,7,735,8.2,1,0,1,0,0,1,0
12,Carles Aleñá,es ESP,MF,Barcelona,21,1998,4,2,172,1.9,0,0,0,0,0,0,0
13,Sergio Álvarez,es ESP,GK,Celta Vigo,32,1986,2,2,180,2,0,0,0,0,0,3,0
14,Sergio Álvarez,es ESP,"MF,DF",Eibar,27,1992,18,14,"1,147",12.7,0,0,0,0,0,6,0
15,Yeray Álvarez,es ESP,DF,Athletic Club,24,1995,32,32,"2,810",31.2,0,0,0,0,0,2,0
16,Ibrahim Amadou,fr FRA,MF,Leganés,26,1993,10,9,770,8.6,0,0,0,0,0,2,0
17,Amath,sn SEN,MF,Getafe,23,1996,7,0,66,0.7,0,0,0,0,0,0,0
18,Miguel Ángel Guerrero,es ESP,FW,Leganés,29,1990,13,9,790,8.8,1,0,1,0,1,0,0
19,José Ángel,es ESP,DF,Eibar,29,1989,28,27,"2,360",26.2,1,1,1,0,0,4,0
20,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,35,1984,13,13,"1,170",13,0,0,0,0,0,0,0
21,Antoñito,es ESP,"DF,MF",Valladolid,31,1987,15,11,"1,029",11.4,0,0,0,0,0,1,0
22,Vitorino Antunes,pt POR,MF,Getafe,32,1987,1,0,6,0.1,0,0,0,0,0,0,0
23,Anuar,ma MAR,"MF,FW",Valladolid,24,1995,11,1,189,2.1,0,0,0,0,0,1,0
24,Mauro Arambarri,uy URU,MF,Getafe,23,1995,35,34,"3,069",34.1,1,1,1,0,0,11,1
25,Néstor Araujo,mx MEX,DF,Celta Vigo,27,1991,34,32,"2,888",32.1,1,2,1,0,0,10,0
26,Ronald Araújo,uy URU,DF,Barcelona,20,1999,6,2,238,2.6,0,0,0,0,0,0,1
27,Anaitz Arbilla,es ESP,DF,Eibar,32,1987,24,22,"2,007",22.3,1,0,1,0,0,5,0
28,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,4,4,360,4,0,0,0,0,0,1,0
29,Santiago Arias,co COL,DF,Atlético Madrid,27,1992,14,11,"1,076",12,0,1,0,0,0,1,0
30,José Arnaiz,es ESP,"FW,MF",Osasuna,24,1995,14,8,791,8.8,2,1,2,0,0,2,0
31,José Arnaiz,es ESP,"MF,FW",Leganés,24,1995,12,2,337,3.7,0,0,0,0,0,2,0
32,Sergio Asenjo,es ESP,GK,Villarreal,30,1989,34,34,"3,060",34,0,0,0,0,0,2,0
33,Marco Asensio,es ESP,FW,Real Madrid,23,1996,9,3,336,3.7,3,1,3,0,0,0,0
34,Iago Aspas,es ESP,FW,Celta Vigo,31,1987,37,37,"3,262",36.2,14,3,9,5,7,9,0
35,Roger Assalé,ci CIV,"FW,MF",Leganés,25,1993,14,2,531,5.9,2,1,2,0,0,1,0
36,Miguel Atienza,es ESP,MF,Eibar,20,1999,3,0,30,0.3,0,0,0,0,0,0,0
37,Ezequiel Ávila,ar ARG,FW,Osasuna,25,1994,20,18,"1,591",17.7,9,2,9,0,0,6,0
38,Javier Avilés,es ESP,"MF,FW",Leganés,21,1997,9,1,184,2,1,1,1,0,0,1,0
39,Chidozie Awaziem,ng NGA,DF,Leganés,22,1997,26,21,"1,997",22.2,0,0,0,0,0,10,0
40,Ramon Azeez,ng NGA,MF,Granada,26,1992,25,14,"1,361",15.1,2,0,2,0,0,3,0
41,Iddrisu Baba,gh GHA,MF,Mallorca,23,1996,36,35,"2,903",32.3,0,0,0,0,0,6,0
42,Carlos Bacca,co COL,"FW,MF",Villarreal,32,1986,19,7,688,7.6,2,1,2,0,0,1,0
43,Alex Baena,es ESP,MF,Villarreal,18,2001,1,0,15,0.2,0,0,0,0,0,0,0
44,Gareth Bale,wls WAL,"FW,MF",Real Madrid,30,1989,16,12,"1,089",12.1,2,2,2,0,0,4,1
45,Mikel Balenziaga,es ESP,DF,Athletic Club,31,1988,9,6,563,6.3,0,0,0,0,0,1,0
46,Éver Banega,ar ARG,MF,Sevilla,31,1988,33,28,"2,475",27.5,3,7,1,2,2,10,0
47,Federico Barba,it ITA,DF,Valladolid,25,1993,5,5,450,5,0,0,0,0,0,3,0
48,Enis Bardhi,mk MKD,MF,Levante,24,1995,30,23,"2,114",23.5,7,2,7,0,0,5,0
49,Kike Barja,es ESP,"MF,FW",Osasuna,22,1997,8,4,313,3.5,0,1,0,0,0,0,0
50,Antonio Barragán,es ESP,DF,Betis,32,1987,12,7,641,7.1,0,1,0,0,0,3,0
51,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,17,2001,17,3,442,4.9,0,0,0,0,0,1,0
52,Marc Bartra,es ESP,"DF,MF",Betis,28,1991,30,29,"2,524",28,3,1,3,0,0,8,0
53,Gil Bastião Dias,pt POR,"DF,FW",Granada,22,1996,12,3,356,4,0,1,0,0,0,1,0
54,Fran Beltrán,es ESP,MF,Celta Vigo,20,1999,28,22,"1,830",20.3,1,0,1,0,0,2,1
55,Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,32,1987,5,2,159,1.8,0,0,0,0,0,1,0
56,Karim Benzema,fr FRA,FW,Real Madrid,31,1987,37,36,"3,141",34.9,21,8,16,5,5,0,0
57,Yuri Berchiche,es ESP,DF,Athletic Club,29,1990,33,32,"2,850",31.7,2,1,2,0,0,7,0
58,Markel Bergara,es ESP,MF,Getafe,33,1986,2,0,72,0.8,0,0,0,0,0,2,0
59,Sergio Bermejo,es ESP,FW,Celta Vigo,21,1997,1,0,5,0.1,0,0,0,0,0,0,0
60,Pedro Bigas,es ESP,DF,Eibar,28,1990,23,21,"1,777",19.7,3,0,3,0,0,2,0
61,Rubén Blanco,es ESP,GK,Celta Vigo,24,1995,33,33,"2,960",32.9,0,0,0,0,0,4,0
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,31,1988,30,15,"1,604",17.8,2,3,1,1,1,1,0
63,Alejandro Blesa,es ESP,MF,Levante,17,2002,1,0,2,0,0,0,0,0,0,0,0
64,Yassine Bounou,ma MAR,GK,Sevilla,28,1991,6,5,495,5.5,0,1,0,0,0,1,0
65,Filip Bradari?,hr CRO,MF,Celta Vigo,27,1992,14,7,706,7.8,0,0,0,0,0,2,1
66,Martin Braithwaite,dk DEN,"FW,MF",Barcelona,28,1991,11,4,407,4.5,1,0,1,0,0,1,0
67,Martin Braithwaite,dk DEN,"FW,MF",Leganés,28,1991,24,21,"1,934",21.5,6,1,6,0,1,3,0
68,Brandon,es ESP,FW,Osasuna,24,1995,8,5,406,4.5,0,1,0,0,0,4,0
69,Darko Brasanac,rs SRB,MF,Osasuna,27,1992,31,27,"2,245",24.9,0,1,0,0,0,8,0
70,Yan Brice Eteki,cm CMR,MF,Granada,21,1997,28,18,"1,499",16.7,0,0,0,0,0,4,0
71,Bryan,es ESP,"MF,FW",Leganés,18,2001,12,4,558,6.2,1,0,1,0,0,2,0
72,Bryan,es ESP,FW,Sevilla,18,2001,2,0,65,0.7,0,0,0,0,0,2,0
73,Ante Budimir,hr CRO,FW,Mallorca,28,1991,35,33,"2,765",30.7,13,2,11,2,2,12,0
74,Esteban Burgos,ar ARG,DF,Eibar,27,1992,15,11,"1,119",12.4,1,0,1,0,0,3,0
75,Burgui,es ESP,MF,Alavés,25,1993,2,0,22,0.2,0,0,0,0,0,0,0
76,Oliver Burke,sct SCO,"MF,FW",Alavés,22,1997,31,14,"1,429",15.9,1,2,1,0,0,2,0
77,Sergio Busquets,es ESP,MF,Barcelona,31,1988,33,29,"2,483",27.6,2,2,2,0,0,9,0
78,Unai Bustinza,es ESP,DF,Leganés,27,1992,33,31,"2,684",29.8,0,1,0,0,0,8,0
79,Erick Cabaco,uy URU,DF,Getafe,24,1995,4,3,267,3,0,0,0,0,0,0,0
80,Erick Cabaco,uy URU,DF,Levante,24,1995,11,9,809,9,0,0,0,0,0,4,0
81,Ariday Cabrera,es ESP,"MF,FW",Mallorca,30,1988,2,0,37,0.4,0,0,0,0,0,0,0
82,Leandro Cabrera,uy URU,DF,Getafe,28,1991,18,18,"1,530",17,2,0,2,0,0,3,0
83,Leandro Cabrera,uy URU,DF,Espanyol,28,1991,17,17,"1,530",17,0,1,0,0,0,2,0
84,Fernando Calero,es ESP,DF,Espanyol,23,1995,15,12,"1,043",11.6,0,0,0,0,0,4,1
85,Jonathan Calleri,ar ARG,FW,Espanyol,25,1993,27,20,"1,811",20.1,1,3,1,0,0,6,1
86,Víctor Camarasa,es ESP,MF,Alavés,25,1994,17,15,"1,293",14.4,0,1,0,0,0,1,0
87,Sergio Camello,es ESP,FW,Atlético Madrid,18,2001,2,0,25,0.3,0,0,0,0,0,0,0
88,José Campaña,es ESP,MF,Levante,26,1993,37,35,"3,156",35.1,2,7,2,0,0,4,1
89,Xisco Campos,es ESP,DF,Mallorca,37,1982,9,4,473,5.3,0,1,0,0,0,2,0
90,Víctor Campuzano,es ESP,"FW,MF",Espanyol,22,1997,20,9,870,9.7,0,0,0,0,0,2,0
91,Sergio Canales,es ESP,"MF,FW",Betis,28,1991,36,36,"3,163",35.1,6,6,3,3,4,5,0
92,Ander Capa,es ESP,DF,Athletic Club,27,1992,35,32,"2,872",31.9,3,4,3,0,0,10,0
93,Marc Cardona,es ESP,FW,Osasuna,24,1995,19,9,705,7.8,1,2,1,0,0,1,0
94,Diego Carlos,br BRA,DF,Sevilla,26,1993,35,35,"3,134",34.8,2,0,2,0,0,7,0
95,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,25,1993,15,6,631,7,1,2,1,0,0,2,0
96,Daniel Carriço,pt POR,DF,Sevilla,30,1988,11,10,847,9.4,0,0,0,0,0,3,0
97,Guido Carrillo,ar ARG,FW,Leganés,28,1991,24,13,"1,213",13.5,1,2,1,0,0,2,0
98,Dani Carvajal,es ESP,DF,Real Madrid,27,1992,31,31,"2,738",30.4,1,5,1,0,0,11,0
99,William Carvalho,pt POR,MF,Betis,27,1992,13,11,892,9.9,0,0,0,0,0,6,1
100,Casemiro,br BRA,MF,Real Madrid,27,1992,35,35,"3,088",34.3,4,3,4,0,0,12,0
101,Santi Cazorla,es ESP,MF,Villarreal,34,1984,35,29,"2,450",27.2,11,9,3,8,8,3,0
102,Sofian Chakla,ma MAR,DF,Villarreal,25,1993,2,2,180,2,0,0,0,0,0,1,0
103,Charles,br BRA,FW,Eibar,35,1984,30,13,"1,301",14.5,6,0,5,1,2,8,0
104,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,31,1988,13,1,209,2.3,0,0,0,0,0,1,0
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,21,1997,16,6,599,6.7,0,1,0,0,0,5,1
106,Chema,es ESP,DF,Getafe,27,1992,4,3,309,3.4,0,0,0,0,0,4,0
107,Denis Cheryshev,ru RUS,"MF,FW",Valencia,28,1990,24,9,926,10.3,1,2,1,0,0,5,0
108,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,20,1999,37,20,"2,048",22.8,3,2,3,0,0,2,0
109,Churripi,es ESP,GK,Valladolid,25,1994,3,3,244,2.7,0,0,0,0,0,0,0
110,Jasper Cillessen,nl NED,GK,Valencia,30,1989,24,24,"2,096",23.3,0,1,0,0,0,1,0
111,Óscar Clemente,es ESP,MF,Atlético Madrid,20,1999,1,0,4,0,0,0,0,0,0,0,0
112,Carlos Clerc,es ESP,DF,Levante,27,1992,23,20,"1,848",20.5,0,2,0,0,0,4,0
113,Coke,es ESP,DF,Levante,32,1987,17,11,989,11,1,0,1,0,0,3,0
114,Álex Collado,es ESP,DF,Barcelona,20,1999,1,0,6,0.1,0,0,0,0,0,0,0
115,Francis Coquelin,fr FRA,MF,Valencia,28,1991,26,21,"1,905",21.2,0,0,0,0,0,8,1
116,Sébastien Corchia,fr FRA,DF,Espanyol,28,1990,3,3,269,3,0,0,0,0,0,1,0
117,Iñigo Córdoba,es ESP,FW,Athletic Club,22,1997,24,21,"1,442",16,1,4,1,0,0,4,0
118,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,24,1995,33,22,"2,061",22.9,5,6,5,0,0,5,0
119,Rober Correa,es ESP,DF,Eibar,26,1992,12,11,929,10.3,0,0,0,0,0,3,0
120,Thierry Correia,pt POR,DF,Valencia,20,1999,4,3,259,2.9,0,0,0,0,0,0,0
122,Diego Costa,es ESP,FW,Atlético Madrid,30,1988,23,14,"1,350",15,5,4,3,2,3,5,0
123,Jaume Costa,es ESP,DF,Valencia,31,1988,19,15,"1,389",15.4,0,1,0,0,0,2,1
124,David Costas,es ESP,DF,Celta Vigo,24,1995,6,3,338,3.8,0,0,0,0,0,1,0
125,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34,34,"3,060",34,0,0,0,0,0,1,0
126,Sebastián Cristóforo,uy URU,MF,Eibar,25,1993,18,9,877,9.7,0,0,0,0,0,1,0
127,Cucho,co COL,"FW,MF",Mallorca,20,1999,22,17,"1,487",16.5,5,1,5,0,0,5,1
128,Marc Cucurella,es ESP,"MF,DF",Getafe,21,1998,37,37,"3,237",36,1,5,1,0,0,9,0
129,Iván Cuéllar,es ESP,GK,Leganés,35,1984,27,27,"2,429",27,0,0,0,0,0,4,1
130,Moanes Dabbur,il ISR,FW,Sevilla,27,1992,2,0,26,0.3,0,0,0,0,0,0,0
131,Sergi Darder,es ESP,"MF,FW",Espanyol,25,1993,36,29,"2,658",29.5,2,1,2,0,0,4,0
132,Ousmane Dembélé,fr FRA,FW,Barcelona,22,1997,5,3,357,4,1,0,1,0,0,1,1
133,Deyverson,br BRA,FW,Getafe,28,1991,5,3,204,2.3,0,1,0,0,0,2,0
134,Mouctar Diakhaby,gn GUI,DF,Valencia,22,1996,21,15,"1,444",16,0,0,0,0,0,5,0
135,Brahim Díaz,es ESP,"FW,MF",Real Madrid,19,1999,6,0,65,0.7,0,0,0,0,0,1,0
136,Víctor Díaz,es ESP,DF,Granada,31,1988,36,33,"2,884",32,1,5,1,0,0,4,0
137,Papakouli Diop,sn SEN,MF,Eibar,33,1986,30,25,"2,253",25,1,0,1,0,0,7,0
138,Djené,tg TOG,DF,Getafe,27,1991,34,34,"3,060",34,0,0,0,0,0,5,0
139,Naïs Djouahra,fr FRA,"FW,DF",Real Sociedad,19,1999,2,0,29,0.3,0,1,0,0,0,0,0
140,Marko Dmitrovi?,rs SRB,GK,Eibar,27,1992,35,35,"3,150",35,0,0,0,0,0,3,0
141,Jaume Doménech,es ESP,GK,Valencia,28,1990,15,14,"1,324",14.7,0,0,0,0,0,1,0
142,Domingos Duarte,pt POR,DF,Granada,24,1995,36,34,"3,087",34.3,3,1,3,0,0,7,0
143,Óscar Duarte,cr CRC,DF,Levante,30,1989,8,5,485,5.4,0,0,0,0,0,0,0
144,Rubén Duarte,es ESP,DF,Alavés,23,1995,31,30,"2,663",29.6,0,1,0,0,0,11,0
145,Hugo Duro,es ESP,"FW,MF",Getafe,19,1999,12,4,378,4.2,1,1,1,0,0,3,0
146,Aritz Elustondo,es ESP,DF,Real Sociedad,25,1994,22,17,"1,510",16.8,0,1,0,0,0,4,0
147,Rodrigo Ely,br BRA,DF,Alavés,25,1993,25,24,"2,121",23.6,2,0,2,0,0,9,1
148,Adri Embarba,es ESP,"MF,FW",Espanyol,27,1992,18,17,"1,371",15.2,2,4,1,1,1,4,0
149,Emerson,br BRA,DF,Betis,20,1999,33,32,"2,839",31.5,3,6,3,0,0,11,0
150,Youssef En-Nesyri,ma MAR,FW,Sevilla,22,1997,18,7,796,8.8,4,0,4,0,0,1,0
151,Youssef En-Nesyri,ma MAR,FW,Leganés,22,1997,18,15,"1,385",15.4,4,2,4,0,0,2,0
152,Sergi Enrich,es ESP,FW,Eibar,29,1990,30,21,"1,865",20.7,1,4,1,0,0,6,0
153,Javier Eraso,es ESP,"MF,FW",Leganés,29,1990,20,11,815,9.1,0,0,0,0,0,3,0
154,Gonzalo Escalante,ar ARG,MF,Eibar,26,1993,23,18,"1,674",18.6,0,1,0,0,0,9,1
