,,,Standard,,,,,,,,,,,,Expected,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Alavés,30,38,40,398,138,34.7,10.47,3.63,0.1,0.28,18.3,22,1,3,38.7,36.4,0.09,1.3,2.6
Athletic Club,26,38,39,429,149,34.7,11.29,3.92,0.08,0.22,15.5,10,6,8,44.6,38.8,0.09,-5.6,-5.8
Atlético Madrid,26,38,57,414,151,36.5,10.89,3.97,0.13,0.35,17.4,12,4,5,48.1,44.5,0.11,8.9,8.5
Barcelona,25,38,96,579,264,45.6,15.24,6.95,0.16,0.35,15.9,59,3,5,81,77.9,0.14,15,15.1
Betis,29,38,56,410,158,38.5,10.79,4.16,0.13,0.34,18.5,21,2,3,42,39.9,0.1,14,14.1
Celta Vigo,23,38,57,442,158,35.7,11.63,4.16,0.12,0.35,16.7,30,2,3,52.8,50.5,0.12,4.2,4.5
Eibar,27,38,43,479,138,28.8,12.61,3.63,0.09,0.3,17.7,21,2,3,38.4,36.2,0.08,4.6,4.8
Espanyol,25,38,34,420,131,31.2,11.05,3.45,0.08,0.24,17.5,16,2,3,43.1,40.7,0.1,-9.1,-8.7
Getafe,32,38,41,370,124,33.5,9.74,3.26,0.1,0.29,17.9,15,5,12,46.7,37.4,0.1,-5.7,-1.4
Girona,25,38,50,459,153,33.3,12.08,4.03,0.1,0.29,17.8,24,6,8,48.6,42.6,0.09,1.4,1.4
La Coruña,32,38,38,467,134,28.7,12.29,3.53,0.07,0.26,17.3,12,3,5,49.3,45.5,0.1,-11.3,-10.5
Las Palmas,36,38,24,414,124,30,10.89,3.26,0.04,0.15,19.4,39,6,8,36.7,30.6,0.07,-12.7,-12.6
Leganés,28,38,32,405,128,31.6,10.66,3.37,0.07,0.23,18.4,14,2,3,39.7,37.5,0.1,-7.7,-7.5
Levante,33,38,43,415,120,28.9,10.92,3.16,0.09,0.32,18.2,26,5,5,41.3,37.5,0.09,1.7,0.5
Málaga,37,38,24,401,117,29.2,10.55,3.08,0.05,0.17,17.7,15,4,6,32.6,28.1,0.07,-8.6,-8.1
Real Madrid,24,38,91,691,269,38.9,18.18,7.08,0.12,0.31,16.4,28,8,10,82.3,74.6,0.11,8.7,8.4
Real Sociedad,27,38,64,520,168,32.3,13.68,4.42,0.12,0.36,17.5,21,4,5,53.5,49.7,0.1,10.5,10.3
Sevilla,31,38,48,520,179,34.4,13.68,4.71,0.08,0.25,17,16,4,5,56.2,52.4,0.1,-8.2,-8.4
Valencia,25,38,63,480,178,37.1,12.63,4.68,0.11,0.31,17.7,26,8,8,55.4,49.4,0.11,7.6,5.6
Villarreal,32,38,56,487,165,33.9,12.82,4.34,0.11,0.32,18.2,16,4,5,50.6,46.8,0.1,5.4,5.2
