,,,Standard,,,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt
Alavés,30,38,35,337,99,29.4,8.87,2.61,0.09,0.3,16.9,11,5,8
Athletic Club,27,38,43,404,133,32.9,10.63,3.5,0.1,0.29,17.1,15,4,5
Atlético Madrid,25,38,65,452,179,39.6,11.89,4.71,0.13,0.34,17.3,13,5,7
Barcelona,25,38,80,573,228,39.8,15.08,6,0.13,0.33,16.6,43,4,8
Betis,25,38,50,437,144,33,11.5,3.79,0.1,0.29,18.3,16,8,11
Cádiz,34,38,33,301,97,32.2,7.92,2.55,0.1,0.3,16.9,13,4,4
Celta Vigo,30,38,55,349,137,39.3,9.18,3.61,0.14,0.35,16.6,12,7,7
Eibar,30,38,29,443,130,29.3,11.66,3.42,0.06,0.19,17.7,14,4,9
Elche,30,38,33,266,87,32.7,7,2.29,0.12,0.36,16,12,2,3
Getafe,31,38,27,353,101,28.6,9.29,2.66,0.07,0.24,18.2,24,3,5
Granada,34,38,46,357,123,34.5,9.39,3.24,0.12,0.35,18.7,21,3,5
Huesca,27,38,32,402,130,32.3,10.58,3.42,0.07,0.22,17.8,14,3,4
Levante,29,38,45,381,125,32.8,10.03,3.29,0.11,0.34,17.6,9,3,6
Osasuna,28,38,36,372,117,31.5,9.79,3.08,0.08,0.26,18.1,7,5,6
Real Madrid,30,38,64,553,166,30,14.55,4.37,0.11,0.37,17,17,3,3
Real Sociedad,30,38,58,418,139,33.3,11,3.66,0.12,0.35,16,20,9,12
Sevilla,26,38,52,452,136,30.1,11.89,3.58,0.1,0.34,16.7,14,6,7
Valencia,30,38,48,381,128,33.6,10.03,3.37,0.1,0.31,19.4,32,8,10
Valladolid,32,38,34,359,110,30.6,9.45,2.89,0.08,0.25,18,24,7,8
Villarreal,29,38,57,394,149,37.8,10.37,3.92,0.11,0.3,16.5,13,12,13
