,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Alavés,30,38,702,464,364,265,73,267,663,40.3,396,407,133,274,498,1200,981,11
Athletic Club,26,38,739,486,359,304,76,296,735,40.3,439,432,103,329,465,1204,820,9
Atlético Madrid,26,38,917,614,442,372,103,377,847,44.5,470,462,129,333,513,1430,885,4
Barcelona,25,38,629,413,281,262,86,229,552,41.5,323,366,103,263,424,1053,525,10
Betis,29,38,635,424,319,252,64,213,537,39.7,324,356,95,261,427,1062,869,17
Celta Vigo,23,38,589,420,304,232,53,218,556,39.2,338,327,101,226,497,1086,780,10
Eibar,27,38,643,436,271,282,90,258,613,42.1,355,349,53,296,554,1197,712,9
Espanyol,25,38,716,500,357,278,81,271,700,38.7,429,362,116,246,515,1231,902,9
Getafe,32,38,715,491,369,267,79,276,732,37.7,456,350,69,281,487,1202,899,5
Girona,25,38,611,403,299,254,58,240,606,39.6,366,329,84,245,490,1101,858,6
La Coruña,32,38,728,500,386,282,60,292,679,43,387,391,113,278,484,1212,942,13
Las Palmas,36,38,654,433,325,269,60,268,647,41.4,379,367,112,255,508,1162,713,21
Leganés,28,38,721,483,350,307,64,323,697,46.3,374,361,87,274,583,1304,777,9
Levante,33,38,616,414,328,222,66,239,625,38.2,386,395,127,268,477,1093,811,9
Málaga,37,38,745,509,383,276,86,272,707,38.5,435,362,101,261,497,1242,890,3
Real Madrid,24,38,687,470,317,275,95,252,621,40.6,369,362,83,279,424,1111,536,16
Real Sociedad,27,38,547,374,249,228,70,227,536,42.4,309,367,91,276,446,993,665,6
Sevilla,31,38,768,535,354,325,89,296,685,43.2,389,419,114,305,409,1177,849,17
Valencia,25,38,745,492,407,267,71,309,692,44.7,383,416,108,308,459,1204,910,9
Villarreal,32,38,711,466,356,278,77,277,700,39.6,423,447,131,316,427,1138,1023,7
