,,,,Playing Time,,,,Performance,,,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
Athletic Club,25,25.4,,38,418,,,44,38,43,1,2,120,9
Atlético Madrid,27,25.9,,38,418,,,63,37,55,8,8,102,5
Barcelona,25,26.6,,38,418,,,112,91,108,4,5,57,2
Betis,33,26.8,,38,418,,,55,41,52,3,4,118,7
Celta Vigo,28,26.9,,38,418,,,37,27,34,3,3,102,4
Espanyol,25,26.5,,38,418,,,42,32,38,4,4,150,11
Getafe,27,26.9,,38,418,,,43,31,39,4,4,114,9
Granada,28,26.9,,38,418,,,35,18,28,7,8,103,5
La Coruña,28,28.8,,38,418,,,45,26,41,4,6,103,8
Levante,27,29.2,,38,418,,,39,22,36,3,5,113,7
Málaga,28,27.9,,38,418,,,52,37,48,4,5,93,6
Mallorca,29,26.9,,38,418,,,43,23,41,2,3,103,8
Osasuna,30,27.6,,38,418,,,33,24,32,1,1,115,10
Rayo Vallecano,29,26.6,,38,418,,,49,30,42,7,7,139,4
Real Madrid,31,26.9,,38,418,,,100,71,92,8,10,93,5
Real Sociedad,22,25.3,,38,418,,,68,49,61,7,7,96,2
Sevilla,30,26.7,,38,418,,,56,36,51,5,7,99,12
Valencia,23,26.4,,38,418,,,65,48,59,6,7,124,8
Valladolid,23,27.3,,38,418,,,48,32,43,5,6,80,3
Zaragoza,33,26.9,,38,418,,,37,23,29,8,8,128,11
