,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,2,38,38,"3,420",38,50,1.32,174,133,75.3,15,2,21,12,31.6,11,7,3,1,30
Athletic Club,2,38,38,"3,420",38,49,1.29,161,117,71.4,10,13,15,11,28.9,6,3,3,0,50
Atlético Madrid,2,38,38,"3,420",38,22,0.58,128,108,83.6,23,10,5,23,60.5,4,1,3,0,75
Barcelona,2,38,38,"3,420",38,29,0.76,133,106,79.7,28,9,1,19,50,2,2,0,0,0
Betis,3,38,38,"3,420",38,61,1.61,151,96,61.6,18,6,14,13,34.2,4,3,1,0,25
Celta Vigo,3,38,38,"3,416",38,60,1.58,161,105,65.2,13,10,15,7,18.4,5,4,0,1,0
Eibar,3,38,38,"3,420",38,50,1.32,133,89,65.4,14,9,15,11,28.9,4,4,0,0,0
Espanyol,2,38,38,"3,420",38,42,1.11,162,125,76.5,12,13,13,12,31.6,7,4,2,1,33.3
Getafe,2,38,38,"3,420",38,33,0.87,129,97,76,15,10,13,14,36.8,4,2,1,1,33.3
Girona,2,38,38,"3,420",38,59,1.55,171,119,67.8,14,9,15,11,28.9,5,4,0,1,0
La Coruña,5,38,38,"3,415",38,76,2,178,109,59.6,6,11,21,6,15.8,5,4,1,0,20
Las Palmas,2,38,38,"3,420",38,74,1.95,214,144,67.8,5,7,26,5,13.2,5,5,0,0,0
Leganés,3,38,38,"3,420",38,51,1.34,158,112,71.5,12,7,19,14,36.8,7,6,1,0,14.3
Levante,3,38,38,"3,420",38,58,1.53,176,125,69.9,11,13,14,10,26.3,6,5,0,1,0
Málaga,2,38,38,"3,420",38,61,1.61,163,106,66.3,5,5,28,6,15.8,7,6,1,0,14.3
Real Madrid,3,38,38,"3,420",38,44,1.16,144,104,70.8,22,10,6,10,26.3,4,2,2,0,50
Real Sociedad,3,38,38,"3,420",38,59,1.55,143,90,62.9,14,7,17,10,26.3,8,6,2,0,25
Sevilla,2,38,38,"3,420",38,58,1.53,144,92,63.2,17,7,14,14,36.8,8,5,1,2,16.7
Valencia,2,38,38,"3,420",38,38,1,169,132,79.3,22,7,9,12,31.6,5,3,2,0,40
Villarreal,3,38,38,"3,420",38,50,1.32,154,107,70.8,18,7,13,11,28.9,7,5,2,0,28.6
