,,,Total,,,,Short,,,Medium,,,Long,,
Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
Alavés,32,9612,13973,68.8,182168,82563,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4
Athletic Club,26,12533,16915,74.1,234527,90251,5521,6494,85,4692,5831,80.5,1830,3367,54.4
Atlético Madrid,30,13595,17765,76.5,221969,88353,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2
Barcelona,28,24758,28227,87.7,391043,119999,12607,13663,92.3,9116,9973,91.4,1888,2617,72.1
Betis,27,16182,19823,81.6,284815,94498,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4
Celta Vigo,30,14552,18557,78.4,249112,90319,6742,7687,87.7,5746,6750,85.1,1422,2704,52.6
Eibar,26,10439,15551,67.1,207816,83924,4422,5456,81,4008,5354,74.9,1713,3829,44.7
Espanyol,31,11881,16363,72.6,224795,87265,4830,5791,83.4,5174,6369,81.2,1528,3235,47.2
Getafe,30,8319,13715,60.7,165206,78286,3535,4713,75,2977,4408,67.5,1466,3508,41.8
Granada,27,9810,14105,69.5,190417,79635,3970,4840,82,3979,5089,78.2,1486,3136,47.4
Leganés,29,10336,14838,69.7,189358,81026,4801,5718,84,3782,4953,76.4,1390,3161,44
Levante,29,12415,16332,76,226838,91964,5677,6494,87.4,4771,5765,82.8,1611,3073,52.4
Mallorca,32,11782,15636,75.4,202289,85085,5648,6558,86.1,4220,5197,81.2,1275,2576,49.5
Osasuna,31,10959,15904,68.9,208476,88804,4772,5858,81.5,4189,5547,75.5,1654,3435,48.2
Real Madrid,26,20107,23733,84.7,352395,113588,9829,10697,91.9,7274,8243,88.2,2405,3556,67.6
Real Sociedad,27,15989,20229,79,284544,99318,6898,7968,86.6,7100,8250,86.1,1568,2851,55
Sevilla,26,17525,21733,80.6,319776,106279,7645,8604,88.9,7011,8197,85.5,2222,3526,63
Valencia,28,14490,18258,79.4,261349,90959,6320,7145,88.5,5926,6878,86.2,1705,3096,55.1
Valladolid,30,11187,15457,72.4,210277,81914,4901,5779,84.8,4401,5426,81.1,1531,3230,47.4
Villarreal,25,16218,20045,80.9,294996,98861,7011,7907,88.7,6626,7599,87.2,2025,3322,61
