,,Total,,,,,Short,,,Medium,,,Long,,
Squad,# Pl,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
Alavés,33,9676,14175,68.3,191045,85745,4158,5174,80.4,3774,4954,76.2,1524,3158,48.3
Athletic Club,26,12947,17283,74.9,229196,91477,5845,6826,85.6,5198,6434,80.8,1437,2830,50.8
Atlético Madrid,26,15076,19098,78.9,253140,88721,7378,8289,89,5269,6266,84.1,1640,3060,53.6
Barcelona,38,21489,25006,85.9,359280,114933,10207,11109,91.9,8433,9401,89.7,1949,2912,66.9
Betis,31,15702,19444,80.8,273534,99419,7360,8284,88.8,6318,7309,86.4,1583,2873,55.1
Cádiz,33,10136,14415,70.3,195586,77862,4254,5031,84.6,3979,5054,78.7,1552,3292,47.1
Celta Vigo,25,16007,20591,77.7,286771,95796,6936,7982,86.9,6579,7795,84.4,1837,3366,54.6
Elche,28,12948,16836,76.9,237190,93093,5745,6572,87.4,5080,6020,84.4,1676,3129,53.6
Espanyol,34,13360,16919,79,237866,88609,6031,6763,89.2,5391,6281,85.8,1475,2817,52.4
Getafe,31,10278,14607,70.4,198745,82394,4498,5432,82.8,3949,5095,77.5,1561,3239,48.2
Granada,32,10582,14889,71.1,199289,81840,4550,5400,84.3,4234,5295,80,1460,3218,45.4
Levante,31,12584,16422,76.6,226757,88940,5742,6544,87.7,4982,5929,84,1501,2917,51.5
Mallorca,33,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8
Osasuna,29,11904,16522,72,228054,96280,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9
Rayo Vallecano,28,12747,16933,75.3,237761,93061,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5
Real Madrid,31,21373,24517,87.2,355560,112657,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5
Real Sociedad,32,15403,19304,79.8,269269,98193,6964,7887,88.3,6383,7429,85.9,1569,2800,56
Sevilla,33,18327,22234,82.4,341688,109533,7686,8529,90.1,7941,8940,88.8,2275,3745,60.7
Valencia,34,9627,13777,69.9,187440,77718,3923,4782,82,3835,4951,77.5,1506,3098,48.6
Villarreal,29,16679,20401,81.8,297067,102775,7326,8226,89.1,7130,8098,88,1742,2825,61.7
